work_key,doi,venue,axis,lens,device_class,architecture,field,value,unit,source_quotation,text_basis
10.1038/s41467-026-76786-9,10.1038/s41467-026-76786-9,Nature Communications,interfaces,experimental,all_perovskite_tandem,tandem_2T,pce_champion,28.14,%,the champion perovskite-organic tandem solar cell (PO-TSC) attains an exceptional PCE of 28.14% (certified 27.84%) with steady power output of 27.86% (certified 27.59%),abstract
10.1038/s41467-026-76786-9,10.1038/s41467-026-76786-9,Nature Communications,interfaces,experimental,all_perovskite_tandem,tandem_2T,pce_certified,27.84,%,the champion perovskite-organic tandem solar cell (PO-TSC) attains an exceptional PCE of 28.14% (certified 27.84%),abstract
10.1038/s41467-026-76786-9,10.1038/s41467-026-76786-9,Nature Communications,interfaces,experimental,all_perovskite_tandem,tandem_2T,pce_stabilised,27.86,%,with steady power output of 27.86% (certified 27.59%),abstract
10.1038/s41467-026-76786-9,10.1038/s41467-026-76786-9,Nature Communications,interfaces,experimental,all_perovskite_tandem,tandem_2T,active_area_cm2,0.09,cm2,"Our champion single-junction inverted perovskite solar cells (PSCs) achieve remarkable power conversion efficiencies (PCEs) of 27.25% (1.55 eV, 0.09 cm²) and 20.24% (1.85 eV, 0.09",abstract
10.1021/acsenergylett.6c01485,10.1021/acsenergylett.6c01485,ACS Energy Letters,interfaces,experimental,single_junction,n-i-p,pce_stabilised,20.0,%,the steady-state maximum power point tracked efficiencies (ηMPP) of the devices improved from an average of 18.6–20.0% comparing devices with neat SnO2 to the C60-PA,abstract
10.1002/anie.5667084,10.1002/anie.5667084,Angewandte Chemie International Edition,defects,experimental,single_junction,none,pce_champion,22.5,%,"champion power conversion efficiency of 22.5%, an encouraging advance over the 20.6% efficiency of control devices",abstract
10.1002/adfm.78067,10.1002/adfm.78067,Advanced Functional Materials,defects,experimental,single_junction,unknown,pce_champion,26.12,%,the power conversion efficiency from 24.05% to 26.12%,abstract
10.1038/s41467-026-76497-1,10.1038/s41467-026-76497-1,Nature Communications,interfaces,experimental,single_junction,p-i-n,pce_champion,27.59,%,DMPA-based PSCs achieve a PCE of 27.59%,abstract
10.1038/s41467-026-76497-1,10.1038/s41467-026-76497-1,Nature Communications,interfaces,experimental,single_junction,p-i-n,pce_certified,27.2,%,certified PCE of 27.2%,abstract
10.1002/aenm.71419,10.1002/aenm.71419,Advanced Energy Materials,defects,experimental,single_junction,n-i-p,pce_champion,25.34,%,perovskite devices fabricated via blade coating in combination with vacuum evaporation reach a PCE of 25.34%,abstract
10.1002/aenm.71419,10.1002/aenm.71419,Advanced Energy Materials,defects,experimental,single_junction,n-i-p,active_area_cm2,12,cm2,5 × 5 cm 2 modules (12 cm 2 active area) deliver 23.16% with only 8% loss upon scaling,abstract
10.1016/j.joule.2026.102646,10.1016/j.joule.2026.102646,Joule,architecture,experimental,perovskite_silicon_tandem,tandem_2T,pce_stabilised,27.0,%,a stabilized power conversion efficiency of 27.0 %,abstract
10.1016/j.decarb.2026.100190,10.1016/j.decarb.2026.100190,DeCarbon,interfaces,experimental,single_junction,p-i-n,pce_champion,22.38,%,the HBN-based Cs 0.3 DMA 0.2 MA 0.5 PbI 3 perovskite solar cells (PSCs) achieve a champion efficiency of 22.38%,abstract
10.1002/anie.3095986,10.1002/anie.3095986,Angewandte Chemie International Edition,defects,experimental,single_junction,p-i-n,pce_champion,27.06,%,champion power conversion efficiency of 27.06%,abstract
10.1002/anie.3095986,10.1002/anie.3095986,Angewandte Chemie International Edition,defects,experimental,single_junction,p-i-n,pce_certified,26.77,%,certified 26.77%,abstract
10.1002/smll.75536,10.1002/smll.75536,Small,defects,experimental,single_junction,none,pce_champion,21.36,%,This strategy increases the efficiency of hole transport layer‐free carbon‐based perovskite solar cells to a new record of 21.36%,abstract
10.1038/s41467-026-76847-z,10.1038/s41467-026-76847-z,Nature Communications,interfaces,experimental,all_perovskite_tandem,tandem_4T,pce_champion,20.36,%,achieving a total scanned PCE of 20.36%,abstract
10.1002/adma.74469,10.1002/adma.74469,Advanced Materials,scale_up,scale_up,module,module,pce_champion,27.01,%,The TFBN‐optimized small area device (aperture area: 0.09 cm 2 ) achieves a champion power conversion efficiency (PCE) of 27.01% along with a low non‐radiative,abstract
10.1002/adma.74469,10.1002/adma.74469,Advanced Materials,scale_up,scale_up,module,module,active_area_cm2,58.51,cm2,"24.51% for 14.63 cm 2 (active area) modules, and 21.05% for 58.51 cm 2 (active area) modules, respectively",abstract
10.1002/aenm.71514,10.1002/aenm.71514,Advanced Energy Materials,interfaces,experimental,single_junction,n-i-p,pce_champion,26.17,%,PA‐engineered PSCs achieve a power conversion efficiency of 26.17%,abstract
10.1002/aenm.71514,10.1002/aenm.71514,Advanced Energy Materials,interfaces,experimental,single_junction,n-i-p,active_area_cm2,1,cm2,yielding efficiencies of 24.83% for 1 cm 2 lab‐scale cells,abstract
10.1002/aenm.71514,10.1002/aenm.71514,Advanced Energy Materials,interfaces,experimental,single_junction,n-i-p,t80_h,900,h,retaining >80% of their initial efficiency after 900 h of continuous operation,abstract
10.1002/anie.4221605,10.1002/anie.4221605,Angewandte Chemie International Edition,stability,experimental,single_junction,p-i-n,pce_champion,26.99,%,O-TEMPO-modified devices achieve a champion efficiency of 26.99% and retain 95.1% of initial performance after 1000 h of maximum power point tracking under ISOS-L-2 conditions,abstract
10.1002/anie.4221605,10.1002/anie.4221605,Angewandte Chemie International Edition,stability,experimental,single_junction,p-i-n,stability_protocol,ISOS-L-2,label,,abstract
10.1002/adma.74538,10.1002/adma.74538,Advanced Materials,composition,experimental,single_junction,unknown,pce_champion,20.23,%,"enabling a champion power conversion efficiency of 20.23% together with markedly enhanced operational, thermal, and ambient‐air stability",abstract
10.1002/smll.75089,10.1002/smll.75089,Small,interfaces,experimental,single_junction,p-i-n,pce_champion,22.48,%,"the optimized Pb–Sn PSCs deliver a power conversion efficiency (PCE) of 22.48%, with an open‐circuit voltage ( V oc ) of 0.894 V and a",abstract
10.1002/aenm.71396,10.1002/aenm.71396,Advanced Energy Materials,composition,experimental,single_junction,n-i-p,pce_champion,25.67,%,"optimized quantity of 0.8 mol% FMAI, perovskite compositions are thermally more stable, enabling more reproducible n‐i‐p PSC performance with a power conversion efficiency of 25.67%.",abstract
10.1021/acsnano.6c07355,10.1021/acsnano.6c07355,ACS Nano,architecture,experimental,all_perovskite_tandem,tandem_2T,pce_champion,29.47,%,"When integrated into all-perovskite tandem solar cells, this strategy yields a champion PCE of 29.47% and 92.4% retention after 900 h of continuous maximum-power-point tracking",abstract
10.1002/anie.6932848,10.1002/anie.6932848,Angewandte Chemie International Edition,interfaces,experimental,single_junction,p-i-n,pce_champion,26.58,%,"inverted devices achieve a power conversion efficiency of 26.58% with an exceptionally high fill factor of 86.72%, together with markedly enhanced operational stability",abstract
10.1002/anie.5241611,10.1002/anie.5241611,Angewandte Chemie International Edition,interfaces,experimental,perovskite_silicon_tandem,tandem_2T,pce_champion,33.0,%,this approach yields a champion power conversion efficiency of 33.00% (certified 32.56%),abstract
10.1002/anie.5241611,10.1002/anie.5241611,Angewandte Chemie International Edition,interfaces,experimental,perovskite_silicon_tandem,tandem_2T,pce_certified,32.56,%,yields a champion power conversion efficiency of 33.00% (certified 32.56%),abstract
10.1002/adfm.77833,10.1002/adfm.77833,Advanced Functional Materials,defects,experimental,single_junction,n-i-p,pce_champion,17.07,%,the carbon‐based flexible perovskite solar cells deliver an efficiency of 17.07% and retain 68% of the initial efficiency after 30 days without encapsulation,abstract
10.1126/science.aeg8415,10.1126/science.aeg8415,Science,stability,experimental,single_junction,p-i-n,pce_champion,27.7,%,we achieved power conversion efficiencies (PCEs) of 27.7% (certified 27.4%) in small-area (0.06 cm 2 ) cells and 20.1% in 2.0 m 2 modules,abstract
10.1126/science.aeg8415,10.1126/science.aeg8415,Science,stability,experimental,single_junction,p-i-n,pce_certified,27.4,%,we achieved power conversion efficiencies (PCEs) of 27.7% (certified 27.4%) in small-area (0.06 cm 2 ) cells,abstract
10.1126/science.aeg8415,10.1126/science.aeg8415,Science,stability,experimental,single_junction,p-i-n,active_area_cm2,0.06,cm2,in small-area (0.06 cm 2 ) cells and 20.1% in 2.0 m 2 modules,abstract
10.1002/solr.70449,10.1002/solr.70449,Solar RRL,defects,scale_up,single_junction,n-i-p,pce_champion,15.77,%,"As a result, CPSCs fabricated under dry‐air conditions achieve a PCE of 15.77%.",abstract
10.1002/solr.70449,10.1002/solr.70449,Solar RRL,defects,scale_up,single_junction,n-i-p,active_area_cm2,6,cm2,"Additionally, a 6 cm 2 module exhibits scalable performance, with PCEs of 5.41% at one sun and 19.31% in indoor light.",abstract
10.1002/solr.70461,10.1002/solr.70461,Solar RRL,defects,experimental,single_junction,p-i-n,pce_champion,23.72,%,the optimized PSC achieves a champion power conversion efficiency of 23.72% and retains over 84.5% of its initial efficiency after 600 h maximum power point,abstract
10.1002/adma.74461,10.1002/adma.74461,Advanced Materials,architecture,experimental,all_perovskite_tandem,tandem_2T,pce_champion,27.03,%,The champion perovskite/organic TSCs deliver a remarkable efficiency of 27.03% (certified of 26.56%; 0.062 cm 2 ).,abstract
10.1002/adma.74461,10.1002/adma.74461,Advanced Materials,architecture,experimental,all_perovskite_tandem,tandem_2T,pce_certified,26.56,%,deliver a remarkable efficiency of 27.03% (certified of 26.56%; 0.062 cm 2 ),abstract
10.1002/adma.74461,10.1002/adma.74461,Advanced Materials,architecture,experimental,all_perovskite_tandem,tandem_2T,active_area_cm2,0.062,cm2,The champion perovskite/organic TSCs deliver a remarkable efficiency of 27.03% (certified of 26.56%; 0.062 cm 2 ).,abstract
10.1021/acsaem.6c01708,10.1021/acsaem.6c01708,ACS Applied Energy Materials,interfaces,experimental,single_junction,p-i-n,pce_champion,21.41,%,"air-processed wide-bandgap PSCs based on NH4SCN-treated NiOx achieve a power conversion efficiency of 21.41% and an open-circuit voltage of 1.260 V, outperforming control devices (19.81%,",abstract
10.1002/smll.75122,10.1002/smll.75122,Small,interfaces,experimental,single_junction,n-i-p,pce_champion,26.19,%,the optimized EVR n‐i‐p PSCs achieve a champion power conversion efficiency (PCE) of 26.19%,abstract
10.1002/smll.75056,10.1002/smll.75056,Small,interfaces,scale_up,single_junction,p-i-n,pce_champion,24.86,%,"24.86% and 21.78% for small‐area 1.55 and 1.68 eV cells, respectively, and 21.38% for a 12.4 cm 2 module based on the 1.55 eV absorber,",abstract
10.1002/smll.75056,10.1002/smll.75056,Small,interfaces,scale_up,single_junction,p-i-n,active_area_cm2,12.4,cm2,21.38% for a 12.4 cm 2 module based on the 1.55 eV absorber,abstract
10.1002/aenm.71497,10.1002/aenm.71497,Advanced Energy Materials,defects,experimental,single_junction,unknown,pce_champion,24.1,%,"the device achieves a power conversion efficiency of 24.1%, retaining 84.7% of its initial efficiency after 450 h at the maximum power point under one‐sun",abstract
10.1002/adfm.77729,10.1002/adfm.77729,Advanced Functional Materials,stability,experimental,single_junction,p-i-n,pce_champion,26.1,%,The resulting inverted devices achieve a champion power conversion efficiency of 26.1%,abstract
10.1002/adfm.77805,10.1002/adfm.77805,Advanced Functional Materials,stability,experimental,all_perovskite_tandem,tandem_2T,pce_champion,24.25,%,The fabricated CsPbI 2 Br/organic tandem cells yield top efficiencies of 24.25% (0.08 cm 2 ) and 22.81% (1.02 cm 2 ),abstract
10.1002/adfm.77805,10.1002/adfm.77805,Advanced Functional Materials,stability,experimental,all_perovskite_tandem,tandem_2T,active_area_cm2,0.08,cm2,yield top efficiencies of 24.25% (0.08 cm 2 ) and 22.81% (1.02 cm 2 ),abstract
10.1002/adfm.77805,10.1002/adfm.77805,Advanced Functional Materials,stability,experimental,all_perovskite_tandem,tandem_2T,t80_h,864,h,"robust stability (T 80 = 864 h at 85°C, T 92 = 1000 h under maximum power point tracking (MPPT) at 30°C)",abstract
10.1002/anie.6548693,10.1002/anie.6548693,Angewandte Chemie International Edition,architecture,experimental,all_perovskite_tandem,tandem_2T,pce_champion,27.1,%,the optimized PO‐TSCs achieve an efficiency of 27.1% with an extrapolated T 80 lifetime exceeding 1400 h,abstract
10.1002/anie.6548693,10.1002/anie.6548693,Angewandte Chemie International Edition,architecture,experimental,all_perovskite_tandem,tandem_2T,t80_h,1400,h,an extrapolated T 80 lifetime exceeding 1400 h,abstract
10.1002/aenm.71512,10.1002/aenm.71512,Advanced Energy Materials,architecture,experimental,perovskite_silicon_tandem,tandem_2T,pce_champion,32.16,%,"we fabricate single‐junction WBG and perovskite‐silicon tandem devices with exceptional power conversion efficiencies (PCEs) of 24.11% and 32.16%, respectively",abstract
10.1021/acsenergylett.6c02033,10.1021/acsenergylett.6c02033,ACS Energy Letters,defects,experimental,module,unknown,pce_champion,26.13,%,The optimized device delivers a power conversion efficiency (PCE) of 26.13%,abstract
10.1002/adma.74489,10.1002/adma.74489,Advanced Materials,stability,experimental,single_junction,unknown,pce_champion,26.66,%,yielding a champion power conversion efficiency of 26.66%,abstract
10.1002/smll.75360,10.1002/smll.75360,Small,defects,experimental,single_junction,n-i-p,pce_champion,26.17,%,the champion device (0.0729 cm 2 ) achieves a lab‐measured PCE of 26.17% with an open‐circuit voltage of 1.19 V,abstract
10.1002/smll.75360,10.1002/smll.75360,Small,defects,experimental,single_junction,n-i-p,active_area_cm2,0.0729,cm2,the champion device (0.0729 cm 2 ) achieves a lab‐measured PCE of 26.17%,abstract
10.1038/s41467-026-76713-y,10.1038/s41467-026-76713-y,Nature Communications,architecture,experimental,perovskite_silicon_tandem,tandem_2T,pce_champion,21.1,%,The resulting 1.68 eV wide-bandgap perovskite solar cells achieve a champion efficiency of 21.1%,abstract
10.1038/s41467-026-76713-y,10.1038/s41467-026-76713-y,Nature Communications,architecture,experimental,perovskite_silicon_tandem,tandem_2T,pce_certified,30.77,%,contributing to a certified stabilized tandem efficiency of 30.77% and an impressive Voc of 1.915 V over an active area of 1.164 cm²,abstract
10.1038/s41467-026-76713-y,10.1038/s41467-026-76713-y,Nature Communications,architecture,experimental,perovskite_silicon_tandem,tandem_2T,pce_stabilised,30.77,%,contributing to a certified stabilized tandem efficiency of 30.77% and an impressive Voc of 1.915 V over an active area of 1.164 cm²,abstract
10.1038/s41467-026-76713-y,10.1038/s41467-026-76713-y,Nature Communications,architecture,experimental,perovskite_silicon_tandem,tandem_2T,active_area_cm2,1.164,cm2,over an active area of 1.164 cm²,abstract
10.1002/anie.8256065,10.1002/anie.8256065,Angewandte Chemie International Edition,defects,experimental,single_junction,p-i-n,pce_champion,24.94,%,"the optimized inverted PSCs deliver a power conversion efficiency (PCE) of 24.94%, with an open‐circuit voltage ( V OC ) of 1.188 V, a short‐circuit",abstract
10.1038/s41467-026-76848-y,10.1038/s41467-026-76848-y,Nature Communications,stability,experimental,single_junction,unknown,pce_champion,26.32,%,"resulting in power conversion efficiencies (PCEs) of 26.32% (certified as 25.67%) and 25.34% for areas of 0.08 cm2 and 1 cm2, respectively",abstract
10.1038/s41467-026-76848-y,10.1038/s41467-026-76848-y,Nature Communications,stability,experimental,single_junction,unknown,pce_certified,25.67,%,"resulting in power conversion efficiencies (PCEs) of 26.32% (certified as 25.67%) and 25.34% for areas of 0.08 cm2 and 1 cm2, respectively",abstract
10.1038/s41467-026-76848-y,10.1038/s41467-026-76848-y,Nature Communications,stability,experimental,single_junction,unknown,active_area_cm2,0.08,cm2,"resulting in power conversion efficiencies (PCEs) of 26.32% (certified as 25.67%) and 25.34% for areas of 0.08 cm2 and 1 cm2, respectively",abstract
10.1038/s41467-026-76848-y,10.1038/s41467-026-76848-y,Nature Communications,stability,experimental,single_junction,unknown,stability_protocol,ISOS-L-1,label,,abstract
10.1002/adma.74828,10.1002/adma.74828,Advanced Materials,scale_up,experimental,module,module,pce_champion,22.83,%,"Perovskite solar modules with an aperture area of 22.95 cm 2 achieve a record power conversion efficiency of 22.83%, retaining over 90% of their initial",abstract
10.1002/adma.74828,10.1002/adma.74828,Advanced Materials,scale_up,experimental,module,module,active_area_cm2,22.95,cm2,Perovskite solar modules with an aperture area of 22.95 cm 2 achieve a record power conversion efficiency of 22.83%,abstract
10.1002/anie.3716107,10.1002/anie.3716107,Angewandte Chemie International Edition,interfaces,experimental,single_junction,p-i-n,pce_champion,26.79,%,The optimized p‐i‐n PSCs based on T4IA interfacial regulation achieve a champion PCE of 26.79% with enhanced long‐term operational and thermal cycling stability.,abstract
10.1002/adma.74769,10.1002/adma.74769,Advanced Materials,composition,experimental,single_junction,unknown,pce_champion,16.48,%,the efficiency of TPSCs increases from 13.03% to 16.48%,abstract
10.1002/adma.74438,10.1002/adma.74438,Advanced Materials,stability,experimental,single_junction,p-i-n,pce_champion,27.06,%,The resulting small‐area (0.09 cm 2 ) inverted PSC achieves a power conversion efficiency (PCE) of 27.06%,abstract
10.1002/adma.74438,10.1002/adma.74438,Advanced Materials,stability,experimental,single_junction,p-i-n,pce_certified,20.11,%,This approach also enables large‐area modules (655.2 cm 2 ) with an efficiency of 20.3% (certified 20.11%) and a fill factor of 79.9%.,abstract
10.1002/adma.74438,10.1002/adma.74438,Advanced Materials,stability,experimental,single_junction,p-i-n,active_area_cm2,0.09,cm2,The resulting small‐area (0.09 cm 2 ) inverted PSC achieves a power conversion efficiency (PCE) of 27.06%,abstract
10.1002/adma.74486,10.1002/adma.74486,Advanced Materials,stability,experimental,single_junction,unknown,pce_champion,25.3,%,"These synergies yield f-PSCs with a champion PCE of 25.3% (26.3% for rigid device), alongside exceptional operational stability.",abstract
10.1002/adma.74629,10.1002/adma.74629,Advanced Materials,stability,experimental,single_junction,unknown,pce_champion,23.3,%,4MePS‐treated p‐MPSCs deliver a champion power conversion efficiency (PCE) of 23.3% (vs. 21.8% for control),abstract
10.1002/adma.74629,10.1002/adma.74629,Advanced Materials,stability,experimental,single_junction,unknown,active_area_cm2,57.3,cm2,"and a minimodule efficiency of 20.2% over 57.3 cm 2 , among the highest reported for p‐MPSCs",abstract
10.1021/acs.jpclett.6c02136,10.1021/acs.jpclett.6c02136,The Journal of Physical Chemistry Letters,architecture,experimental,single_junction,unknown,pce_champion,26.04,%,"the champion PCE of n-i-p PSCs increased from 23.49% to 24.82%, while that of p-i-n PSCs increased from 25.26% to 26.04%.",abstract
10.1002/adfm.77637,10.1002/adfm.77637,Advanced Functional Materials,architecture,theory,perovskite_silicon_tandem,tandem_2T,pce_champion,33.02,%,The target device achieved a champion power conversion efficiency of 33.02% compared with 31.12% for control.,abstract
10.1021/acsnano.5c21962,10.1021/acsnano.5c21962,ACS Nano,scale_up,scale_up,module,module,pce_champion,25.19,%,"The resulting devices achieve power conversion efficiencies of 25.19% for 0.113 cm2 cells and 23.37% for 21 cm2 modules, with a geometric fill factor of",abstract
10.1021/acsnano.5c21962,10.1021/acsnano.5c21962,ACS Nano,scale_up,scale_up,module,module,active_area_cm2,21,cm2,"The resulting devices achieve power conversion efficiencies of 25.19% for 0.113 cm2 cells and 23.37% for 21 cm2 modules, with a geometric fill factor of",abstract
10.1002/aenm.71372,10.1002/aenm.71372,Advanced Energy Materials,stability,experimental,single_junction,unknown,pce_champion,24.7,%,Cr/Al electrodes yield devices with high efficiencies (up to 24.7%) and operational stability comparable to reference devices using Au rear electrodes under heat and light,abstract
10.1002/adfm.77942,10.1002/adfm.77942,Advanced Functional Materials,stability,experimental,single_junction,p-i-n,pce_champion,26.14,%,"fabricated without a pre‐deposited hole transport layer by directly co‐depositing the self‐assembled molecule and perovskite onto the ITO substrate, achieves a champion efficiency of 26.14%",abstract
10.1002/adfm.77942,10.1002/adfm.77942,Advanced Functional Materials,stability,experimental,single_junction,p-i-n,pce_certified,25.23,%,"a pre‐deposited hole transport layer by directly co‐depositing the self‐assembled molecule and perovskite onto the ITO substrate, achieves a champion efficiency of 26.14% (certified 25.23%)",abstract
10.1002/smll.75482,10.1002/smll.75482,Small,stability,experimental,single_junction,unknown,pce_champion,23.95,%,"As a result, DBPA‐modified PSCs achieve a PCE of 23.95% under ambient preparation, outperforming the control (21.80%).",abstract
10.1002/anie.3883037,10.1002/anie.3883037,Angewandte Chemie International Edition,interfaces,experimental,single_junction,unknown,pce_champion,23.24,%,"As a result, small‐area (0.062 cm 2 ) and large‐area (1.004 cm 2 ) devices achieved remarkable PCEs of 23.24% and 22.09%, respectively.",abstract
10.1002/anie.3883037,10.1002/anie.3883037,Angewandte Chemie International Edition,interfaces,experimental,single_junction,unknown,active_area_cm2,1.004,cm2,"As a result, small‐area (0.062 cm 2 ) and large‐area (1.004 cm 2 ) devices achieved remarkable PCEs of 23.24% and 22.09%, respectively.",abstract
10.1021/acsenergylett.6c01444,10.1021/acsenergylett.6c01444,ACS Energy Letters,defects,experimental,single_junction,n-i-p,pce_champion,26.22,%,"Consequently, HBL-containing PSCs show improved reverse-bias recovery and increased power conversion efficiency from 23.47% to 23.88% for nanoparticle-SnO2 devices and from 25.81% to 26.22% for",abstract
10.1038/s41467-026-76425-3,10.1038/s41467-026-76425-3,Nature Communications,stability,experimental,single_junction,n-i-p,pce_champion,26.32,%,"Consequently, planar n-i-p Cs 0.05 MA 0.05 FA 0.9 PbI 3 perovskite solar cells achieve outstanding power conversion efficiencies of 26.32 % for small-area devices",abstract
10.1038/s41467-026-76425-3,10.1038/s41467-026-76425-3,Nature Communications,stability,experimental,single_junction,n-i-p,active_area_cm2,16.8,cm2,perovskite solar cells achieve outstanding power conversion efficiencies of 26.32 % for small-area devices (0.06 cm 2 ) and 22.25 % for large-area modules (16.8,abstract
10.1038/s41467-026-76266-0,10.1038/s41467-026-76266-0,Nature Communications,interfaces,experimental,perovskite_silicon_tandem,tandem_2T,pce_certified,33.66,%,"When implemented in monolithic perovskite/silicon tandem solar cells, the compact SAM enables a certified stabilized power conversion efficiency of 33.66%.",abstract
10.1038/s41467-026-76266-0,10.1038/s41467-026-76266-0,Nature Communications,interfaces,experimental,perovskite_silicon_tandem,tandem_2T,pce_stabilised,33.66,%,the compact SAM enables a certified stabilized power conversion efficiency of 33.66%,abstract
10.1021/acsenergylett.6c01191,10.1021/acsenergylett.6c01191,ACS Energy Letters,composition,experimental,single_junction,n-i-p,pce_champion,25.59,%,"As a result, we achieve 25.59% PCE with improved stability, retaining over 90% of its initial efficiency after 1600 h under 85 °C and over",abstract
10.1002/anie.2425823,10.1002/anie.2425823,Angewandte Chemie International Edition,stability,experimental,single_junction,n-i-p,pce_champion,26.67,%,the optimized PSC achieved power conversion efficiency (PCE) as high as 26.67% (certificated 26.44%),abstract
10.1002/anie.2425823,10.1002/anie.2425823,Angewandte Chemie International Edition,stability,experimental,single_junction,n-i-p,pce_certified,26.44,%,the optimized PSC achieved power conversion efficiency (PCE) as high as 26.67% (certificated 26.44%),abstract
10.1002/anie.2425823,10.1002/anie.2425823,Angewandte Chemie International Edition,stability,experimental,single_junction,n-i-p,t80_h,800,h,maintained 80% after 800 h continuous illumination,abstract
10.1002/anie.7848549,10.1002/anie.7848549,Angewandte Chemie International Edition,scale_up,scale_up,single_junction,unknown,pce_champion,27.05,%,"The optimized solar cells achieve a champion power conversion efficiency of 27.05% (certified 26.51%), and the corresponding mini‐module delivers an aperture‐area (12.95 cm 2 )",abstract
10.1002/anie.7848549,10.1002/anie.7848549,Angewandte Chemie International Edition,scale_up,scale_up,single_junction,unknown,pce_certified,26.51,%,The optimized solar cells achieve a champion power conversion efficiency of 27.05% (certified 26.51%),abstract
10.1002/anie.7848549,10.1002/anie.7848549,Angewandte Chemie International Edition,scale_up,scale_up,single_junction,unknown,active_area_cm2,12.95,cm2,the corresponding mini‐module delivers an aperture‐area (12.95 cm 2 ) efficiency of 21.52%,abstract
10.1021/jacs.6c12975,10.1021/jacs.6c12975,Journal of the American Chemical Society,defects,experimental,single_junction,unknown,pce_champion,25.2,%,This TVM process enables solar cells' power-conversion efficiency to increase from 22.3% to 25.2%,abstract
10.1002/rar2.70509,10.1002/rar2.70509,Rare Metals,defects,theory,single_junction,unknown,pce_champion,25.44,%,"resulting in enhanced film quality and power conversion efficiencies (PCEs) of 24.07% and 25.44%, respectively",abstract
10.1002/ente.70607,10.1002/ente.70607,Energy Technology,interfaces,experimental,single_junction,p-i-n,pce_champion,8.12,%,"The champion cell, manufactured using slot‐die coating in ambient air conditions, reached a power conversion efficiency of 8.12% and maintained stable performance for over 800",abstract
10.1002/ente.70607,10.1002/ente.70607,Energy Technology,interfaces,experimental,single_junction,p-i-n,active_area_cm2,5,cm2,The fabrication process for a 5 cm 2 PSC device was refined using a design of experiments methodology.,abstract
10.1021/acs.jpclett.6c01761,10.1021/acs.jpclett.6c01761,The Journal of Physical Chemistry Letters,interfaces,experimental,single_junction,unknown,pce_champion,10.48,%,The resulting CsPbBr3-based PSCs achieved a champion PCE of 10.48%.,abstract
10.1016/j.solener.2026.115062,10.1016/j.solener.2026.115062,Solar Energy,interfaces,experimental,single_junction,n-i-p,pce_champion,8.74,%,"Consequently, the optimized HTL-free device achieved a champion PCE of 8.74% with a Voc of 1.520 V and retained 90.69% of its initial efficiency after",abstract
