arm,month,work_key,field,value,architecture,grounded,cross_paper,sq_violation
ungated_baseline,2026-01,10.1007/s40820-025-02037-z,pce_certified,25.56,tandem_2T,True,False,False
ungated_baseline,2026-01,10.1016/j.decarb.2026.100147,pce_champion,24.75,p-i-n,True,False,False
ungated_baseline,2026-01,10.1016/j.decarb.2026.100147,active_area_cm2,0.039,p-i-n,True,False,False
ungated_baseline,2026-01,10.1016/j.matre.2026.100406,pce_champion,20.62,unknown,True,False,False
ungated_baseline,2026-01,10.1021/acs.jpclett.5c03815,pce_champion,23.19,p-i-n,True,False,False
ungated_baseline,2026-01,10.1021/acs.nanolett.5c05593,pce_champion,26.1,p-i-n,True,False,False
ungated_baseline,2026-01,10.1021/acs.nanolett.5c05593,pce_certified,25.66,p-i-n,True,False,False
ungated_baseline,2026-01,10.1021/acsaem.5c03125,pce_champion,20.21,p-i-n,True,False,False
ungated_baseline,2026-01,10.1021/acsaem.5c03260,pce_champion,14.6,unknown,True,False,False
ungated_baseline,2026-01,10.1021/acsaem.5c03964,pce_champion,0.955,p-i-n,True,False,False
ungated_baseline,2026-01,10.1021/acsami.5c12441,pce_champion,6.17,unknown,True,False,False
ungated_baseline,2026-01,10.1021/acsami.5c18622,pce_champion,20.9,p-i-n,True,False,False
ungated_baseline,2026-01,10.1021/acsami.5c18622,t80_h,460,p-i-n,True,False,False
ungated_baseline,2026-01,10.1021/acsami.5c22927,pce_champion,24.09,n-i-p,True,False,False
ungated_baseline,2026-01,10.1021/acsami.5c22927,t80_h,1000,n-i-p,True,False,False
ungated_baseline,2026-01,10.1021/acsami.5c22974,pce_champion,20.41,unknown,True,False,False
ungated_baseline,2026-01,10.1021/acsami.5c23126,pce_champion,22.67,unknown,True,False,False
ungated_baseline,2026-01,10.1021/acsami.5c23126,active_area_cm2,4.0,unknown,True,False,False
ungated_baseline,2026-01,10.1021/acsenergylett.5c03328,pce_champion,26.39,p-i-n,True,False,False
ungated_baseline,2026-01,10.1021/acsenergylett.5c03470,pce_champion,25.46,unknown,True,False,False
ungated_baseline,2026-01,10.1021/acsenergylett.5c03901,pce_champion,26.01,unknown,True,False,False
ungated_baseline,2026-01,10.1021/jacs.5c16976,pce_champion,26.66,unknown,True,False,False
ungated_baseline,2026-01,10.1021/jacs.5c16976,pce_certified,26.35,unknown,True,False,False
ungated_baseline,2026-01,10.1038/s41467-025-68125-1,pce_champion,26.0,tandem_2T,True,False,False
ungated_baseline,2026-01,10.1038/s41467-025-68207-0,pce_champion,26.2,p-i-n,True,False,False
ungated_baseline,2026-01,10.1038/s41467-025-68207-0,active_area_cm2,0.072,p-i-n,True,False,False
ungated_baseline,2026-01,10.1038/s41467-025-68207-0,t80_h,800,p-i-n,True,False,False
ungated_baseline,2026-01,10.1038/s41467-025-68213-2,pce_champion,29.2,tandem_2T,True,False,False
ungated_baseline,2026-01,10.1038/s41467-025-68213-2,pce_certified,29.2,tandem_2T,True,False,False
ungated_baseline,2026-01,10.1038/s41467-025-68213-2,t80_h,800,tandem_2T,True,False,False
ungated_baseline,2026-01,10.1038/s41467-025-68219-w,pce_champion,24.31,unknown,True,False,False
ungated_baseline,2026-01,10.1038/s41467-025-68231-0,pce_champion,25.62,n-i-p,True,False,False
ungated_baseline,2026-01,10.1038/s41467-025-68231-0,pce_certified,25.62,n-i-p,True,False,False
ungated_baseline,2026-01,10.1038/s41467-026-68439-8,pce_champion,26.5,unknown,True,False,False
ungated_baseline,2026-01,10.1038/s41467-026-68439-8,active_area_cm2,0.0665,unknown,True,False,False
ungated_baseline,2026-01,10.1038/s41467-026-68904-4,pce_champion,27.11,tandem_2T,True,False,False
ungated_baseline,2026-01,10.1038/s41467-026-68904-4,pce_certified,26.3,tandem_2T,True,False,False
ungated_baseline,2026-01,10.1126/science.aea0656,pce_champion,25.4,p-i-n,True,False,False
ungated_baseline,2026-01,10.1126/science.aea0656,pce_certified,25.4,p-i-n,True,False,False
ungated_baseline,2026-01,10.1126/science.aea0656,active_area_cm2,1.1,p-i-n,True,False,False
ungated_baseline,2026-01,10.1126/science.aea8228,pce_champion,26.6,n-i-p,True,False,False
ungated_baseline,2026-01,10.1126/science.aea8228,pce_certified,26.5,n-i-p,True,False,False
ungated_baseline,2026-01,10.1186/s43074-025-00219-x,pce_champion,22.5,n-i-p,True,False,False
ungated_baseline,2026-01,10.1186/s43074-025-00219-x,active_area_cm2,0.1,n-i-p,True,False,False
ungated_baseline,2026-01,10.26434/chemrxiv.10001581/v1,pce_champion,12.16,n-i-p,True,False,False
ungated_baseline,2026-01,10.3390/nano16030188,pce_champion,17.93,p-i-n,True,False,False
ungated_baseline,2026-01,10.48550/arxiv.2601.23191,pce_champion,24.2,unknown,True,False,False
ungated_baseline,2026-02,10.1002/adfm.202524302,pce_champion,25.82,unknown,True,False,False
ungated_baseline,2026-02,10.1002/adfm.202526679,pce_champion,26.0,p-i-n,True,False,False
ungated_baseline,2026-02,10.1002/adfm.202529457,pce_champion,25.5,unknown,True,False,False
ungated_baseline,2026-02,10.1002/adfm.202532066,pce_champion,21.13,p-i-n,True,False,False
ungated_baseline,2026-02,10.1002/adfm.202532100,pce_champion,25.24,p-i-n,True,False,False
ungated_baseline,2026-02,10.1002/adfm.202532100,t80_h,500,p-i-n,True,False,False
ungated_baseline,2026-02,10.1002/adfm.74503,pce_champion,28.42,tandem_2T,True,False,False
ungated_baseline,2026-02,10.1002/adfm.74659,pce_champion,28.58,tandem_2T,True,False,False
ungated_baseline,2026-02,10.1002/adma.202519267,pce_champion,26.45,p-i-n,True,False,False
ungated_baseline,2026-02,10.1002/adma.202519339,pce_champion,28.01,p-i-n,True,False,False
ungated_baseline,2026-02,10.1002/adma.202519339,pce_certified,25.94,p-i-n,True,False,False
ungated_baseline,2026-02,10.1002/adma.202520776,pce_champion,24.3,module,True,False,False
ungated_baseline,2026-02,10.1002/adma.202520776,active_area_cm2,1.0,module,True,False,False
ungated_baseline,2026-02,10.1002/adma.202521129,pce_champion,32.19,tandem_2T,True,False,False
ungated_baseline,2026-02,10.1002/adma.202521129,pce_certified,23.48,tandem_2T,True,False,False
ungated_baseline,2026-02,10.1002/adma.202522508,pce_champion,26.5,module,True,False,False
ungated_baseline,2026-02,10.1002/adma.202522508,pce_certified,26.22,module,True,False,False
ungated_baseline,2026-02,10.1002/adma.202522508,active_area_cm2,0.06,module,True,False,False
ungated_baseline,2026-02,10.1002/adma.202522942,pce_champion,29.03,tandem_2T,True,False,False
ungated_baseline,2026-02,10.1002/adma.72622,pce_champion,26.9,p-i-n,True,False,False
ungated_baseline,2026-02,10.1002/adma.72622,pce_certified,26.5,p-i-n,True,False,False
ungated_baseline,2026-02,10.1002/advs.202524013,pce_champion,23.29,tandem_2T,True,False,False
ungated_baseline,2026-02,10.1002/aenm.202503291,pce_champion,23.45,n-i-p,True,False,False
ungated_baseline,2026-02,10.1002/aenm.202504928,pce_champion,22.3,module,True,False,False
ungated_baseline,2026-02,10.1002/aenm.202505854,pce_champion,22.53,unknown,True,False,False
ungated_baseline,2026-02,10.1002/aenm.202505854,pce_certified,21.95,unknown,True,False,False
ungated_baseline,2026-02,10.1002/aenm.202506610,pce_champion,22.2,unknown,True,False,False
ungated_baseline,2026-02,10.1002/aenm.202506610,t80_h,500,unknown,True,False,False
ungated_baseline,2026-02,10.1002/aenm.70755,pce_champion,28.34,tandem_2T,True,False,False
ungated_baseline,2026-02,10.1002/aenm.70755,pce_certified,20.02,tandem_2T,True,False,False
ungated_baseline,2026-02,10.1002/anie.202516537,pce_champion,26.41,p-i-n,True,False,False
ungated_baseline,2026-02,10.1002/anie.202516537,active_area_cm2,64.68,p-i-n,True,False,False
ungated_baseline,2026-02,10.1002/anie.202516537,t80_h,800,p-i-n,True,False,False
ungated_baseline,2026-02,10.1002/anie.202523799,pce_champion,25.79,n-i-p,True,False,False
ungated_baseline,2026-02,10.1002/anie.202525815,pce_champion,26.9,unknown,True,False,False
ungated_baseline,2026-02,10.1002/anie.202525815,pce_certified,26.75,unknown,True,False,False
ungated_baseline,2026-02,10.1002/anie.202525815,active_area_cm2,10.24,unknown,True,False,False
ungated_baseline,2026-02,10.1002/ente.202502217,pce_champion,17.79,unknown,True,False,False
ungated_baseline,2026-02,10.1002/pip.70076,pce_champion,25.77,n-i-p,True,False,False
ungated_baseline,2026-02,10.1002/pip.70083,pce_champion,21.12,p-i-n,True,False,False
ungated_baseline,2026-02,10.1002/smll.202511627,pce_champion,22.21,unknown,True,False,False
ungated_baseline,2026-02,10.1002/smll.202512151,pce_champion,20.41,unknown,True,False,False
ungated_baseline,2026-02,10.1002/smll.202512729,pce_champion,24.79,n-i-p,True,False,False
ungated_baseline,2026-02,10.1002/smll.202513958,pce_champion,29.0,tandem_2T,True,False,False
ungated_baseline,2026-02,10.1002/smll.202514211,pce_champion,25.02,p-i-n,True,False,False
ungated_baseline,2026-02,10.1002/smll.72953,pce_champion,25.54,p-i-n,True,False,False
ungated_baseline,2026-02,10.1002/solr.202500698,pce_champion,20.3,unknown,True,False,False
ungated_baseline,2026-02,10.1002/solr.202500840,pce_champion,21.3,p-i-n,True,False,False
ungated_baseline,2026-02,10.1002/solr.202500840,t80_h,700,p-i-n,True,False,False
ungated_baseline,2026-02,10.1002/solr.202500859,pce_champion,15.52,unknown,True,False,False
ungated_baseline,2026-02,10.1002/solr.202500859,t80_h,1200,unknown,True,False,False
ungated_baseline,2026-02,10.1002/solr.202500906,pce_champion,19.61,unknown,True,False,False
ungated_baseline,2026-02,10.1002/solr.202500951,pce_champion,22.14,n-i-p,True,False,False
ungated_baseline,2026-02,10.1007/s40820-025-02058-8,pce_champion,26.22,p-i-n,True,False,False
ungated_baseline,2026-02,10.1007/s40820-025-02058-8,t80_h,1050,p-i-n,True,False,False
ungated_baseline,2026-02,10.1007/s40820-026-02098-8,pce_champion,26.13,unknown,True,False,False
ungated_baseline,2026-02,10.1007/s40820-026-02112-z,pce_champion,21.56,unknown,True,False,False
ungated_baseline,2026-02,10.1007/s40820-026-02112-z,t80_h,1500,unknown,True,False,False
ungated_baseline,2026-02,10.1016/j.egyr.2026.109131,pce_champion,32.39,n-i-p,True,False,False
ungated_baseline,2026-02,10.1016/j.scib.2026.02.050,pce_champion,26.54,p-i-n,True,False,False
ungated_baseline,2026-02,10.1016/j.solener.2026.114393,pce_champion,24.64,n-i-p,True,False,False
ungated_baseline,2026-02,10.1016/j.solmat.2026.114173,pce_champion,20.28,unknown,True,False,False
ungated_baseline,2026-02,10.1016/j.solmat.2026.114223,pce_champion,22.1,tandem_2T,True,False,False
ungated_baseline,2026-02,10.1016/j.solmat.2026.114223,active_area_cm2,16,tandem_2T,True,False,False
ungated_baseline,2026-02,10.1016/j.solmat.2026.114233,pce_champion,20,n-i-p,True,False,False
ungated_baseline,2026-02,10.1021/acs.jpclett.5c03830,pce_champion,24.9,n-i-p,True,False,False
ungated_baseline,2026-02,10.1021/acs.jpclett.5c03830,active_area_cm2,0.055,n-i-p,True,False,False
ungated_baseline,2026-02,10.1021/acs.jpclett.5c03830,t80_h,1000,n-i-p,True,False,False
ungated_baseline,2026-02,10.1021/acs.jpclett.5c04038,pce_champion,25.72,unknown,True,False,False
ungated_baseline,2026-02,10.1021/acs.jpclett.6c00022,pce_champion,19.35,p-i-n,True,False,False
ungated_baseline,2026-02,10.1021/acs.jpclett.6c00022,t80_h,360,p-i-n,True,False,False
ungated_baseline,2026-02,10.1021/acsaem.5c03517,pce_champion,20.2,p-i-n,True,False,False
ungated_baseline,2026-02,10.1021/acsaem.5c03517,t80_h,1347,p-i-n,True,False,False
ungated_baseline,2026-02,10.1021/acsaem.5c03794,pce_champion,8.0,p-i-n,True,False,False
ungated_baseline,2026-02,10.1021/acsaem.5c03966,pce_champion,14.81,unknown,True,False,False
ungated_baseline,2026-02,10.1021/acsaem.5c04086,pce_champion,6.92,n-i-p,True,False,False
ungated_baseline,2026-02,10.1021/acsaem.6c00408,pce_champion,25.13,unknown,True,False,False
ungated_baseline,2026-02,10.1021/acsami.5c20363,pce_champion,20.2,unknown,True,False,False
ungated_baseline,2026-02,10.1021/acsami.5c21487,pce_champion,23.27,p-i-n,True,False,False
ungated_baseline,2026-02,10.1021/acsami.5c21997,pce_champion,30.74,tandem_2T,True,False,False
ungated_baseline,2026-02,10.1021/acsami.5c22032,pce_champion,20.8,module,True,False,False
ungated_baseline,2026-02,10.1021/acsami.5c22032,t80_h,450,module,True,False,False
ungated_baseline,2026-02,10.1021/acsami.5c23217,pce_champion,21.22,p-i-n,True,False,False
ungated_baseline,2026-02,10.1021/acsami.5c23217,active_area_cm2,0.06,p-i-n,True,False,False
ungated_baseline,2026-02,10.1021/acsami.5c23217,t80_h,4000,p-i-n,True,False,False
ungated_baseline,2026-02,10.1021/acsami.5c24295,pce_champion,11.0,unknown,True,False,False
ungated_baseline,2026-02,10.1021/acsami.5c24295,active_area_cm2,0.5,unknown,True,False,False
ungated_baseline,2026-02,10.1021/acsenergylett.5c04010,active_area_cm2,1.0,tandem_2T,True,False,False
ungated_baseline,2026-02,10.1021/acsenergylett.5c04127,pce_champion,32.73,tandem_2T,True,False,False
ungated_baseline,2026-02,10.1021/acsenergylett.5c04127,pce_certified,32.46,tandem_2T,True,False,False
ungated_baseline,2026-02,10.1021/acsenergylett.5c04203,pce_champion,24.5,tandem_2T,True,False,False
ungated_baseline,2026-02,10.1021/acsenergylett.5c04203,pce_certified,24.5,tandem_2T,True,False,False
ungated_baseline,2026-02,10.1021/acsenergylett.5c04203,active_area_cm2,1.0,tandem_2T,True,False,False
ungated_baseline,2026-02,10.1021/acsnano.5c18423,pce_champion,22.51,unknown,True,False,False
ungated_baseline,2026-02,10.1021/acsnano.5c18423,active_area_cm2,0.16,unknown,True,False,False
ungated_baseline,2026-02,10.1021/acsnano.5c21709,pce_champion,25.61,p-i-n,True,False,False
ungated_baseline,2026-02,10.1021/acsnano.5c21709,pce_certified,25.11,p-i-n,True,False,False
ungated_baseline,2026-02,10.1021/acsnano.5c21709,active_area_cm2,10.04,p-i-n,True,False,False
ungated_baseline,2026-02,10.1021/jacs.5c18303,pce_champion,26.4,p-i-n,True,False,False
ungated_baseline,2026-02,10.1021/jacs.5c18303,pce_certified,26.4,p-i-n,True,False,False
ungated_baseline,2026-02,10.1021/jacs.5c18303,active_area_cm2,0.05,p-i-n,True,False,False
ungated_baseline,2026-02,10.1038/s41467-025-68236-9,pce_champion,25.0,n-i-p,True,False,False
ungated_baseline,2026-02,10.1038/s41467-026-69198-2,pce_champion,26.18,n-i-p,True,False,False
ungated_baseline,2026-02,10.1038/s41467-026-69198-2,pce_certified,26.23,n-i-p,True,False,False
ungated_baseline,2026-02,10.1038/s41467-026-69264-9,pce_champion,20.32,module,True,False,False
ungated_baseline,2026-02,10.1038/s41467-026-69264-9,active_area_cm2,10.13,module,True,False,False
ungated_baseline,2026-02,10.1038/s41467-026-69391-3,pce_champion,26.62,unknown,True,False,False
ungated_baseline,2026-02,10.1038/s41467-026-69391-3,pce_certified,26.07,unknown,True,False,False
ungated_baseline,2026-02,10.1038/s41467-026-69685-6,pce_champion,24.7,module,True,False,False
ungated_baseline,2026-02,10.1038/s41467-026-69685-6,pce_certified,23.55,module,True,False,False
ungated_baseline,2026-02,10.1038/s41467-026-69685-6,active_area_cm2,25.0,module,True,False,False
ungated_baseline,2026-02,10.1038/s41560-026-01993-z,pce_champion,27.2,unknown,True,False,False
ungated_baseline,2026-02,10.1038/s41560-026-01993-z,pce_certified,26.9,unknown,True,False,False
ungated_baseline,2026-02,10.1038/s41563-026-02494-w,pce_champion,19.3,unknown,True,False,False
ungated_baseline,2026-02,10.1038/s41563-026-02494-w,pce_certified,18.35,unknown,True,False,False
ungated_baseline,2026-02,10.1038/s41563-026-02494-w,active_area_cm2,0.25,unknown,True,False,False
ungated_baseline,2026-02,10.1038/s41563-026-02494-w,t80_h,1080,unknown,False,False,False
ungated_baseline,2026-02,10.1126/sciadv.aea7629,pce_champion,26.3,unknown,True,False,False
ungated_baseline,2026-02,10.1126/sciadv.aea7629,pce_certified,25.8,unknown,True,False,False
ungated_baseline,2026-02,10.1126/sciadv.aea7629,active_area_cm2,0.07,unknown,True,False,False
ungated_baseline,2026-02,10.1126/science.aea3339,pce_champion,27.1,p-i-n,True,False,False
ungated_baseline,2026-02,10.1126/science.aea3339,pce_certified,26.6,p-i-n,True,False,False
ungated_baseline,2026-02,10.1186/s40580-026-00541-5,pce_champion,16.88,unknown,True,False,False
ungated_baseline,2026-02,10.26599/nre.2026.9120218,pce_champion,25.06,unknown,True,False,False
ungated_baseline,2026-02,10.48550/arxiv.2602.04914,pce_champion,26.0,unknown,True,False,False
ungated_baseline,2026-02,10.48550/arxiv.2602.15759,pce_champion,31.76,n-i-p,True,False,False
ungated_baseline,2026-03,10.1002/adfm.202526009,pce_champion,31.43,tandem_2T,True,False,False
ungated_baseline,2026-03,10.1002/adfm.202530037,pce_champion,26.1,n-i-p,True,False,False
ungated_baseline,2026-03,10.1002/adfm.202531060,pce_champion,25.27,p-i-n,True,False,False
ungated_baseline,2026-03,10.1002/adfm.202531060,t80_h,1300,p-i-n,True,False,False
ungated_baseline,2026-03,10.1002/adfm.202531734,pce_champion,26.2,n-i-p,True,False,False
ungated_baseline,2026-03,10.1002/adfm.202532203,pce_champion,19.89,module,True,False,False
ungated_baseline,2026-03,10.1002/adfm.202532203,active_area_cm2,16.41,module,True,False,False
ungated_baseline,2026-03,10.1002/adfm.202532205,active_area_cm2,900,module,True,False,False
ungated_baseline,2026-03,10.1002/adfm.74817,pce_champion,25.0,p-i-n,True,False,False
ungated_baseline,2026-03,10.1002/adfm.74893,pce_champion,25.81,n-i-p,True,False,False
ungated_baseline,2026-03,10.1002/adfm.74893,t80_h,4000,n-i-p,True,False,False
ungated_baseline,2026-03,10.1002/adfm.75040,pce_champion,25.31,p-i-n,True,False,False
ungated_baseline,2026-03,10.1002/adfm.75104,pce_champion,25.82,n-i-p,True,False,False
ungated_baseline,2026-03,10.1002/adfm.75104,t80_h,1200,n-i-p,True,False,False
ungated_baseline,2026-03,10.1002/adfm.75159,pce_champion,25.0,p-i-n,True,False,False
ungated_baseline,2026-03,10.1002/adfm.75159,t80_h,700,p-i-n,True,False,False
ungated_baseline,2026-03,10.1002/adma.202520432,pce_champion,26.84,unknown,True,False,False
ungated_baseline,2026-03,10.1002/adma.202520432,pce_certified,26.78,unknown,True,False,False
ungated_baseline,2026-03,10.1002/adma.202520432,t80_h,2000,unknown,True,False,False
ungated_baseline,2026-03,10.1002/adma.202521898,pce_champion,28.59,tandem_2T,True,False,False
ungated_baseline,2026-03,10.1002/adma.202521898,active_area_cm2,0.0396,tandem_2T,True,False,False
ungated_baseline,2026-03,10.1002/adma.202522790,pce_champion,29.58,tandem_2T,True,False,False
ungated_baseline,2026-03,10.1002/adma.202522790,t80_h,1100,tandem_2T,True,False,False
ungated_baseline,2026-03,10.1002/adma.202523249,pce_champion,26.58,p-i-n,True,False,False
ungated_baseline,2026-03,10.1002/adma.202523249,pce_certified,26.13,p-i-n,True,False,False
ungated_baseline,2026-03,10.1002/adma.202523249,t80_h,1000,p-i-n,True,False,False
ungated_baseline,2026-03,10.1002/adma.202523630,pce_champion,26.52,n-i-p,True,False,False
ungated_baseline,2026-03,10.1002/adma.72738,pce_champion,32.43,tandem_2T,True,False,False
ungated_baseline,2026-03,10.1002/adma.72738,t80_h,1000,tandem_2T,True,False,False
ungated_baseline,2026-03,10.1002/adma.72755,pce_champion,29.67,tandem_2T,True,False,False
ungated_baseline,2026-03,10.1002/adma.72755,t80_h,1000,tandem_2T,True,False,False
ungated_baseline,2026-03,10.1002/adma.72756,pce_champion,22.76,unknown,True,False,False
ungated_baseline,2026-03,10.1002/adma.72756,pce_certified,21.69,unknown,True,False,False
ungated_baseline,2026-03,10.1002/adma.72756,t80_h,2000,unknown,True,False,False
ungated_baseline,2026-03,10.1002/adma.72823,pce_champion,26.95,unknown,True,False,False
ungated_baseline,2026-03,10.1002/adma.72823,pce_certified,26.69,unknown,True,False,False
ungated_baseline,2026-03,10.1002/adma.72823,t80_h,1000,unknown,True,False,False
ungated_baseline,2026-03,10.1002/adma.72936,pce_champion,29.01,tandem_2T,True,False,False
ungated_baseline,2026-03,10.1002/adma.72936,t80_h,750,tandem_2T,True,False,False
ungated_baseline,2026-03,10.1002/adom.202503341,pce_certified,34.85,tandem_2T,True,False,False
ungated_baseline,2026-03,10.1002/advs.202524311,pce_champion,25.54,unknown,True,False,False
ungated_baseline,2026-03,10.1002/advs.202524338,pce_champion,21.65,p-i-n,True,False,False
ungated_baseline,2026-03,10.1002/advs.202524338,t80_h,1440,p-i-n,True,False,False
ungated_baseline,2026-03,10.1002/aenm.202506423,pce_champion,25.29,n-i-p,True,False,False
ungated_baseline,2026-03,10.1002/aenm.202506494,pce_champion,22.2,n-i-p,True,False,False
ungated_baseline,2026-03,10.1002/aenm.202506494,active_area_cm2,0.12,n-i-p,True,False,False
ungated_baseline,2026-03,10.1002/aenm.202506760,pce_champion,25.92,n-i-p,True,False,False
ungated_baseline,2026-03,10.1002/aenm.202506760,t80_h,1000,n-i-p,True,False,False
ungated_baseline,2026-03,10.1002/aenm.202506762,pce_champion,23.5,unknown,True,False,False
ungated_baseline,2026-03,10.1002/aenm.70806,pce_certified,26.35,p-i-n,True,False,False
ungated_baseline,2026-03,10.1002/aenm.70806,t80_h,1000,p-i-n,True,False,False
ungated_baseline,2026-03,10.1002/aenm.70814,pce_champion,26.73,p-i-n,True,False,False
ungated_baseline,2026-03,10.1002/aenm.70814,t80_h,1000,p-i-n,True,False,False
ungated_baseline,2026-03,10.1002/anie.202519239,pce_champion,25.53,unknown,True,False,False
ungated_baseline,2026-03,10.1002/anie.202519239,t80_h,1142,unknown,True,False,False
ungated_baseline,2026-03,10.1002/anie.202520159,pce_champion,25.57,unknown,True,False,False
ungated_baseline,2026-03,10.1002/anie.202520159,active_area_cm2,0.09,unknown,True,False,False
ungated_baseline,2026-03,10.1002/anie.202520159,t80_h,1000,unknown,False,True,False
ungated_baseline,2026-03,10.1002/anie.2660254,pce_champion,25.47,n-i-p,True,False,False
ungated_baseline,2026-03,10.1002/anie.2660254,t80_h,1000,n-i-p,True,False,False
ungated_baseline,2026-03,10.1002/anie.3450174,pce_champion,26.22,unknown,True,False,False
ungated_baseline,2026-03,10.1002/anie.4012708,pce_champion,26.48,p-i-n,True,False,False
ungated_baseline,2026-03,10.1002/anie.5296449,pce_champion,15.42,unknown,True,False,False
ungated_baseline,2026-03,10.1002/anie.5319815,pce_champion,26.52,p-i-n,True,False,False
ungated_baseline,2026-03,10.1002/anie.8473744,pce_champion,26.88,p-i-n,True,False,False
ungated_baseline,2026-03,10.1002/anie.8890696,pce_champion,26.49,p-i-n,True,False,False
