arm,work_key,field,value,architecture,grounded,cross_paper,sq_violation
ungated_baseline,10.1002/adma.74220,pce_champion,26.6,n-i-p,True,False,False
ungated_baseline,10.1002/adma.74243,pce_champion,26.54,n-i-p,True,False,False
ungated_baseline,10.1002/adma.74243,t80_h,9800,n-i-p,True,False,False
ungated_baseline,10.1002/adma.74247,pce_champion,26.61,unknown,True,False,False
ungated_baseline,10.1002/adma.74316,pce_champion,26.94,p-i-n,True,False,False
ungated_baseline,10.1002/adma.74316,pce_certified,26.94,p-i-n,True,False,False
ungated_baseline,10.1002/adma.74416,pce_champion,26.78,p-i-n,True,False,False
ungated_baseline,10.1002/advs.76463,pce_champion,28.0,tandem_2T,True,False,False
ungated_baseline,10.1002/advs.76508,pce_champion,26.32,unknown,True,False,False
ungated_baseline,10.1002/advs.76508,active_area_cm2,0.072,unknown,True,False,False
ungated_baseline,10.1002/aenm.202506753,pce_champion,30.0,tandem_2T,True,False,False
ungated_baseline,10.1002/aenm.71259,pce_champion,29.4,tandem_2T,True,False,False
ungated_baseline,10.1002/aenm.71267,pce_champion,26.4,tandem_2T,True,False,False
ungated_baseline,10.1002/aenm.71267,pce_certified,25.9,tandem_2T,True,False,False
ungated_baseline,10.1002/aenm.71282,pce_champion,26.67,p-i-n,True,False,False
ungated_baseline,10.1002/aenm.71305,pce_champion,27.25,p-i-n,True,False,False
ungated_baseline,10.1002/aenm.71305,pce_certified,26.84,p-i-n,True,False,False
ungated_baseline,10.1002/aenm.71312,pce_champion,25.3,n-i-p,True,False,False
ungated_baseline,10.1002/aenm.71317,pce_champion,31.66,tandem_2T,True,False,False
ungated_baseline,10.1002/aenm.71317,t80_h,6785,tandem_2T,True,False,False
ungated_baseline,10.1002/aenm.71336,pce_champion,27.84,tandem_2T,True,False,False
ungated_baseline,10.1002/anie.1018855,pce_champion,26.87,p-i-n,True,False,False
ungated_baseline,10.1002/anie.1676645,pce_champion,33.21,tandem_2T,True,False,False
ungated_baseline,10.1002/anie.1676645,pce_certified,32.13,tandem_2T,True,False,False
ungated_baseline,10.1002/anie.1678852,pce_champion,26.76,p-i-n,True,False,False
ungated_baseline,10.1002/anie.1864800,pce_champion,26.85,p-i-n,True,False,False
ungated_baseline,10.1002/anie.2884874,pce_champion,25.8,n-i-p,True,False,False
ungated_baseline,10.1002/anie.2884874,t80_h,1000,n-i-p,True,False,False
ungated_baseline,10.1002/anie.2924886,pce_champion,26.81,n-i-p,True,False,False
ungated_baseline,10.1002/anie.4031162,pce_champion,26.2,p-i-n,True,False,False
ungated_baseline,10.1002/anie.4177367,pce_champion,25.24,unknown,True,False,False
ungated_baseline,10.1002/anie.4177367,t80_h,1430,unknown,True,False,False
ungated_baseline,10.1002/anie.5216345,pce_champion,26.12,unknown,True,False,False
ungated_baseline,10.1002/anie.5216345,active_area_cm2,0.09,unknown,True,False,False
ungated_baseline,10.1002/anie.5530609,pce_champion,32.03,tandem_2T,True,False,False
ungated_baseline,10.1002/anie.5530609,active_area_cm2,1.05,tandem_2T,True,False,False
ungated_baseline,10.1002/anie.5530609,t80_h,1200,tandem_2T,True,False,False
ungated_baseline,10.1002/anie.7090517,pce_champion,26.82,p-i-n,True,False,False
ungated_baseline,10.1002/anie.7827890,pce_champion,15.56,p-i-n,True,False,False
ungated_baseline,10.1002/anie.7827890,pce_certified,14.67,p-i-n,True,False,False
ungated_baseline,10.1002/anie.7827890,active_area_cm2,0.049,p-i-n,True,False,False
ungated_baseline,10.1002/anie.8080769,pce_champion,27.06,p-i-n,True,False,False
ungated_baseline,10.1002/anie.8080769,pce_certified,26.82,p-i-n,True,False,False
ungated_baseline,10.1002/cnl2.70189,pce_champion,21.54,unknown,True,False,False
ungated_baseline,10.1002/ece2.70102,pce_champion,22.68,unknown,True,False,False
ungated_baseline,10.1002/ece2.70102,t80_h,1000,unknown,True,False,False
ungated_baseline,10.1002/ente.70590,pce_champion,30.81,unknown,True,False,False
ungated_baseline,10.1002/pip.70131,pce_champion,29.64,n-i-p,True,False,False
ungated_baseline,10.1002/smll.74289,pce_champion,25.53,n-i-p,True,False,False
ungated_baseline,10.1002/smll.74356,pce_champion,20.71,p-i-n,True,False,False
ungated_baseline,10.1002/smll.74390,pce_champion,18.89,unknown,True,False,False
ungated_baseline,10.1002/smll.74470,pce_champion,26.51,tandem_2T,True,False,False
ungated_baseline,10.1002/smll.74531,pce_champion,22.2,unknown,True,False,False
ungated_baseline,10.1002/smll.74531,t80_h,200,unknown,True,False,False
ungated_baseline,10.1002/smll.74604,pce_champion,25.15,n-i-p,True,False,False
ungated_baseline,10.1002/smll.74604,active_area_cm2,0.04,n-i-p,True,False,False
ungated_baseline,10.1002/smll.74604,t80_h,1500,n-i-p,False,False,False
ungated_baseline,10.1002/smll.74660,pce_champion,15.1,unknown,True,False,False
ungated_baseline,10.1002/smll.74660,t80_h,1000,unknown,True,False,False
ungated_baseline,10.1002/smll.74806,pce_champion,23.15,p-i-n,True,False,False
ungated_baseline,10.1002/smll.74811,pce_champion,26.32,unknown,True,False,False
ungated_baseline,10.1002/smll.74903,pce_champion,22.0,unknown,True,False,False
ungated_baseline,10.1002/smll.74999,pce_champion,30.62,tandem_2T,True,False,False
ungated_baseline,10.1002/solr.70375,active_area_cm2,64,module,True,False,False
ungated_baseline,10.1002/solr.70425,pce_champion,13.7,p-i-n,True,False,False
ungated_baseline,10.1002/solr.70430,pce_champion,14.57,module,True,False,False
ungated_baseline,10.1002/solr.70430,active_area_cm2,64,module,True,False,False
ungated_baseline,10.1002/solr.70435,pce_champion,24.91,unknown,True,False,False
ungated_baseline,10.1002/solr.70437,pce_champion,22.92,p-i-n,True,False,False
ungated_baseline,10.1002/solr.70447,pce_champion,17.75,n-i-p,True,False,False
ungated_baseline,10.1007/s40820-026-02291-9,pce_champion,32.5,tandem_2T,True,False,False
ungated_baseline,10.1007/s40820-026-02295-5,pce_champion,26.19,unknown,True,False,False
ungated_baseline,10.1007/s42114-026-01958-6,pce_champion,22.16,n-i-p,True,False,False
ungated_baseline,10.1016/j.hybadv.2026.100700,pce_champion,29.08,n-i-p,True,False,False
ungated_baseline,10.1016/j.hybadv.2026.100721,pce_champion,29.1,n-i-p,True,False,False
ungated_baseline,10.1016/j.hybadv.2026.100722,pce_champion,28.85,n-i-p,True,False,False
ungated_baseline,10.1016/j.joule.2026.102575,pce_champion,27.3,tandem_2T,True,False,False
ungated_baseline,10.1016/j.nanoen.2026.112222,pce_champion,23.26,p-i-n,True,False,False
ungated_baseline,10.1016/j.nanoen.2026.112222,pce_certified,23.26,p-i-n,True,False,False
ungated_baseline,10.1016/j.nanoen.2026.112222,active_area_cm2,0.0405,p-i-n,False,False,False
ungated_baseline,10.1021/acsaem.6c01125,pce_champion,3.01,unknown,True,False,False
ungated_baseline,10.1021/acsaem.6c01370,pce_champion,21.4,unknown,True,False,False
ungated_baseline,10.1021/acsaem.6c01637,pce_champion,21.53,unknown,True,False,False
ungated_baseline,10.1021/acsaem.6c01637,t80_h,720,unknown,True,False,False
ungated_baseline,10.1021/acsaem.6c01764,pce_champion,22.2,unknown,True,False,False
ungated_baseline,10.1021/acsami.6c05331,pce_champion,21.15,p-i-n,True,False,False
ungated_baseline,10.1021/acsami.6c06005,pce_champion,9.9,unknown,True,False,False
ungated_baseline,10.1021/acsami.6c07418,pce_champion,22.15,p-i-n,True,False,False
ungated_baseline,10.1021/acsami.6c08440,pce_champion,19.38,p-i-n,True,False,False
ungated_baseline,10.1021/acsami.6c09672,pce_champion,22.03,p-i-n,True,False,False
ungated_baseline,10.1021/acsami.6c09922,pce_champion,24.2,module,True,False,False
ungated_baseline,10.1021/acsami.6c09922,active_area_cm2,12.0,module,True,False,False
ungated_baseline,10.1021/acsenergylett.6c00858,pce_champion,21.5,p-i-n,True,False,False
ungated_baseline,10.1021/acsenergylett.6c00858,active_area_cm2,0.128,p-i-n,True,False,False
ungated_baseline,10.1021/acsenergylett.6c01113,pce_champion,20.18,unknown,True,False,False
ungated_baseline,10.1021/acsenergylett.6c01161,pce_champion,18.15,unknown,True,False,False
ungated_baseline,10.1021/acsenergylett.6c01361,pce_champion,21.4,n-i-p,True,False,False
ungated_baseline,10.1021/acsenergylett.6c01489,pce_champion,26.23,p-i-n,True,False,False
ungated_baseline,10.1021/acsenergylett.6c01517,pce_champion,26.65,unknown,True,False,False
ungated_baseline,10.1021/acsenergylett.6c01826,pce_champion,17.1,unknown,True,False,False
ungated_baseline,10.1021/acsnano.5c21750,pce_champion,23.06,unknown,True,False,False
ungated_baseline,10.1021/acsnano.6c04084,pce_champion,22.51,unknown,True,False,False
ungated_baseline,10.1021/jacs.6c05502,pce_champion,22.99,unknown,True,False,False
ungated_baseline,10.1021/jacs.6c06932,pce_champion,26.53,unknown,True,False,False
ungated_baseline,10.1021/jacs.6c06932,active_area_cm2,818,unknown,True,False,False
ungated_baseline,10.1038/s41467-026-74018-8,pce_champion,27.12,p-i-n,True,False,False
ungated_baseline,10.1038/s41467-026-74018-8,pce_certified,27.12,p-i-n,True,False,False
ungated_baseline,10.1038/s41467-026-74018-8,active_area_cm2,655.2,p-i-n,True,False,False
ungated_baseline,10.1038/s41467-026-75053-1,pce_champion,26.14,unknown,True,False,False
ungated_baseline,10.1038/s41467-026-75053-1,pce_certified,25.75,unknown,True,False,False
ungated_baseline,10.1038/s41467-026-75305-0,pce_certified,26.18,tandem_2T,True,False,False
ungated_baseline,10.1038/s41467-026-75305-0,active_area_cm2,1.17,tandem_2T,True,False,False
ungated_baseline,10.1038/s41467-026-75629-x,pce_champion,26.47,n-i-p,True,False,False
ungated_baseline,10.1038/s41467-026-75990-x,pce_champion,26.26,unknown,True,False,False
ungated_baseline,10.1126/sciadv.aeb8790,pce_champion,29.44,tandem_2T,True,False,False
ungated_baseline,10.1126/sciadv.aeb8790,pce_certified,28.84,tandem_2T,True,False,False
ungated_baseline,10.1126/sciadv.aed6327,pce_champion,26.88,unknown,True,False,False
ungated_baseline,10.1126/sciadv.aed6327,pce_certified,26.52,unknown,True,False,False
ungated_baseline,10.1126/sciadv.aee4175,pce_certified,23.1,module,True,False,False
ungated_baseline,10.1126/sciadv.aee4175,active_area_cm2,20.3,module,True,False,False
ungated_baseline,10.1126/sciadv.aef6600,pce_certified,27.49,tandem_2T,True,False,False
ungated_baseline,10.1126/sciadv.aef6600,active_area_cm2,12.56,tandem_2T,True,False,False
ungated_baseline,10.1126/sciadv.aeg1456,pce_certified,27.31,p-i-n,True,False,False
ungated_baseline,10.1126/sciadv.aei2945,pce_champion,33.3,tandem_2T,True,False,False
ungated_baseline,10.1126/sciadv.aei2945,pce_certified,33.1,tandem_2T,True,False,False
ungated_baseline,10.1126/science.aed8175,pce_champion,27.8,p-i-n,True,False,False
ungated_baseline,10.1126/science.aed8175,pce_certified,27.3,p-i-n,True,False,False
ungated_baseline,10.1126/science.aef1969,pce_champion,26.7,unknown,True,False,False
ungated_baseline,10.1126/science.aef1969,pce_certified,26.1,unknown,True,False,False
guarded_pipeline,10.1002/adfm.76731,pce_champion,16.16,unknown,True,False,False
guarded_pipeline,10.1002/adfm.76848,pce_champion,25.67,n-i-p,True,False,False
guarded_pipeline,10.1002/adfm.76878,pce_champion,25.75,p-i-n,True,False,False
guarded_pipeline,10.1002/adfm.76878,active_area_cm2,1,p-i-n,True,False,False
guarded_pipeline,10.1002/adfm.76974,pce_champion,25.73,unknown,True,False,False
guarded_pipeline,10.1002/adfm.77015,pce_champion,26.33,n-i-p,True,False,False
guarded_pipeline,10.1002/adfm.77164,pce_champion,26.15,p-i-n,True,False,False
guarded_pipeline,10.1002/adfm.77164,active_area_cm2,93.1,p-i-n,True,False,False
guarded_pipeline,10.1002/adfm.77175,pce_champion,25.76,n-i-p,True,False,False
guarded_pipeline,10.1002/adfm.77211,pce_champion,26.07,n-i-p,True,False,False
guarded_pipeline,10.1002/adfm.77373,pce_champion,26.32,unknown,True,False,False
guarded_pipeline,10.1002/adfm.77378,pce_champion,26.13,unknown,True,False,False
guarded_pipeline,10.1002/adma.73807,pce_champion,27.31,p-i-n,True,False,False
guarded_pipeline,10.1002/adma.73807,pce_certified,27.31,p-i-n,True,False,False
guarded_pipeline,10.1002/adma.73807,active_area_cm2,684.75,p-i-n,True,False,False
guarded_pipeline,10.1002/adma.73886,pce_champion,26.33,p-i-n,True,False,False
guarded_pipeline,10.1002/adma.73950,pce_champion,26.7,unknown,True,False,False
guarded_pipeline,10.1002/adma.74033,pce_champion,26.9,p-i-n,True,False,False
guarded_pipeline,10.1002/adma.74033,pce_certified,26.14,p-i-n,True,False,False
guarded_pipeline,10.1002/adma.74060,pce_champion,26.21,p-i-n,True,False,False
guarded_pipeline,10.1002/adma.74078,pce_champion,30.13,tandem_2T,True,False,False
guarded_pipeline,10.1002/adma.74078,pce_certified,29.57,tandem_2T,True,False,False
guarded_pipeline,10.1002/adma.74183,pce_champion,25.92,unknown,True,False,False
guarded_pipeline,10.1002/adma.74220,pce_champion,26.6,n-i-p,True,False,False
guarded_pipeline,10.1002/adma.74243,pce_champion,26.54,n-i-p,True,False,False
guarded_pipeline,10.1002/adma.74243,t80_h,9800,n-i-p,True,False,False
guarded_pipeline,10.1002/adma.74247,pce_champion,26.61,unknown,True,False,False
guarded_pipeline,10.1002/adma.74316,pce_certified,26.94,p-i-n,True,False,False
guarded_pipeline,10.1002/adma.74316,active_area_cm2,25,p-i-n,True,False,False
guarded_pipeline,10.1002/adma.74416,pce_champion,26.78,p-i-n,True,False,False
guarded_pipeline,10.1002/advs.76463,pce_champion,28,unknown,True,False,False
guarded_pipeline,10.1002/advs.76508,pce_champion,26.32,unknown,True,False,False
guarded_pipeline,10.1002/advs.76508,active_area_cm2,0.072,unknown,True,False,False
guarded_pipeline,10.1002/aenm.202506753,pce_champion,30,tandem_2T,True,False,False
guarded_pipeline,10.1002/aenm.71259,pce_champion,23.38,n-i-p,True,False,False
guarded_pipeline,10.1002/aenm.71267,pce_champion,26.4,tandem_2T,True,False,False
guarded_pipeline,10.1002/aenm.71267,pce_certified,25.9,tandem_2T,True,False,False
guarded_pipeline,10.1002/aenm.71282,pce_champion,26.67,p-i-n,True,False,False
guarded_pipeline,10.1002/aenm.71305,pce_champion,27.25,p-i-n,True,False,False
guarded_pipeline,10.1002/aenm.71305,pce_certified,26.84,p-i-n,True,False,False
guarded_pipeline,10.1002/aenm.71312,pce_champion,25.3,n-i-p,True,False,False
guarded_pipeline,10.1002/aenm.71317,pce_champion,31.66,tandem_2T,True,False,False
guarded_pipeline,10.1002/aenm.71317,t80_h,6785,tandem_2T,True,False,False
guarded_pipeline,10.1002/aenm.71336,pce_champion,27.84,tandem_2T,True,False,False
guarded_pipeline,10.1002/anie.1018855,pce_champion,26.87,p-i-n,True,False,False
guarded_pipeline,10.1002/anie.1676645,pce_champion,33.21,tandem_2T,True,False,False
guarded_pipeline,10.1002/anie.1676645,pce_certified,32.13,tandem_2T,True,False,False
guarded_pipeline,10.1002/anie.1678852,pce_champion,26.76,p-i-n,True,False,False
guarded_pipeline,10.1002/anie.1864800,pce_champion,26.85,p-i-n,True,False,False
guarded_pipeline,10.1002/anie.2884874,pce_champion,25.8,unknown,True,False,False
guarded_pipeline,10.1002/anie.2924886,pce_champion,26.81,n-i-p,True,False,False
guarded_pipeline,10.1002/anie.4031162,pce_champion,26.2,p-i-n,True,False,False
guarded_pipeline,10.1002/anie.4177367,pce_champion,25.24,unknown,True,False,False
guarded_pipeline,10.1002/anie.5216345,pce_champion,26.12,unknown,True,False,False
guarded_pipeline,10.1002/anie.5216345,active_area_cm2,0.09,unknown,True,False,False
guarded_pipeline,10.1002/anie.5530609,pce_champion,32.03,tandem_2T,True,False,False
guarded_pipeline,10.1002/anie.5530609,active_area_cm2,1.05,tandem_2T,True,False,False
guarded_pipeline,10.1002/anie.7090517,pce_champion,26.82,p-i-n,True,False,False
guarded_pipeline,10.1002/anie.7827890,pce_champion,15.56,p-i-n,True,False,False
guarded_pipeline,10.1002/anie.7827890,pce_certified,14.67,p-i-n,True,False,False
guarded_pipeline,10.1002/anie.7827890,active_area_cm2,0.049,p-i-n,True,False,False
guarded_pipeline,10.1002/anie.8080769,pce_champion,27.06,p-i-n,True,False,False
guarded_pipeline,10.1002/anie.8080769,pce_certified,26.82,p-i-n,True,False,False
guarded_pipeline,10.1002/anie.8080769,active_area_cm2,21.54,p-i-n,True,False,False
guarded_pipeline,10.1002/cnl2.70189,pce_champion,21.54,tandem_2T,True,False,False
guarded_pipeline,10.1002/ece2.70102,pce_champion,22.68,module,True,False,False
guarded_pipeline,10.1002/ece2.70102,active_area_cm2,63.7,module,True,False,False
guarded_pipeline,10.1002/ente.70590,pce_champion,30.81,n-i-p,True,False,False
guarded_pipeline,10.1002/pip.70131,pce_champion,29.64,n-i-p,True,False,False
guarded_pipeline,10.1002/smll.74289,pce_champion,25.53,n-i-p,True,False,False
guarded_pipeline,10.1002/smll.74356,pce_champion,20.71,p-i-n,True,False,False
guarded_pipeline,10.1002/smll.74390,pce_champion,18.89,unknown,True,False,False
guarded_pipeline,10.1002/smll.74470,pce_champion,26.51,tandem_2T,True,False,False
guarded_pipeline,10.1002/smll.74531,pce_champion,22.2,unknown,True,False,False
guarded_pipeline,10.1002/smll.74531,t80_h,200,unknown,True,False,False
guarded_pipeline,10.1002/smll.74604,pce_champion,25.15,n-i-p,True,False,False
guarded_pipeline,10.1002/smll.74604,active_area_cm2,0.04,n-i-p,True,False,False
guarded_pipeline,10.1002/smll.74660,pce_champion,15.1,unknown,True,False,False
guarded_pipeline,10.1002/smll.74806,pce_champion,23.15,p-i-n,True,False,False
guarded_pipeline,10.1002/smll.74811,pce_champion,26.32,unknown,True,False,False
guarded_pipeline,10.1002/smll.74903,pce_champion,22.0,unknown,True,False,False
guarded_pipeline,10.1002/smll.74999,pce_champion,30.62,tandem_2T,True,False,False
guarded_pipeline,10.1002/solr.70375,active_area_cm2,64,module,True,False,False
guarded_pipeline,10.1002/solr.70425,pce_champion,13.7,unknown,True,False,False
guarded_pipeline,10.1002/solr.70430,pce_champion,14.57,unknown,True,False,False
guarded_pipeline,10.1002/solr.70430,active_area_cm2,64,unknown,True,False,False
guarded_pipeline,10.1002/solr.70435,pce_champion,24.91,unknown,True,False,False
guarded_pipeline,10.1002/solr.70437,pce_champion,22.92,p-i-n,True,False,False
guarded_pipeline,10.1002/solr.70447,pce_champion,17.75,unknown,True,False,False
guarded_pipeline,10.1007/s40820-026-02291-9,pce_champion,32.5,tandem_2T,True,False,False
guarded_pipeline,10.1007/s40820-026-02295-5,pce_champion,26.19,unknown,True,False,False
guarded_pipeline,10.1007/s42114-026-01958-6,pce_champion,22.16,n-i-p,True,False,False
guarded_pipeline,10.1016/j.hybadv.2026.100700,pce_champion,29.08,n-i-p,True,False,False
guarded_pipeline,10.1016/j.hybadv.2026.100721,pce_champion,29.1,n-i-p,True,False,False
guarded_pipeline,10.1016/j.hybadv.2026.100722,pce_champion,28.85,n-i-p,True,False,False
guarded_pipeline,10.1016/j.joule.2026.102575,pce_champion,27.3,tandem_2T,True,False,False
guarded_pipeline,10.1016/j.nanoen.2026.112222,pce_certified,23.26,p-i-n,True,False,False
guarded_pipeline,10.1021/acsaem.6c01125,pce_champion,3.01,unknown,True,False,False
guarded_pipeline,10.1021/acsaem.6c01370,pce_champion,21.4,unknown,True,False,False
guarded_pipeline,10.1021/acsaem.6c01637,pce_champion,21.53,unknown,True,False,False
guarded_pipeline,10.1021/acsaem.6c01637,t80_h,720,unknown,True,False,False
guarded_pipeline,10.1021/acsaem.6c01764,pce_champion,22.2,unknown,True,False,False
guarded_pipeline,10.1021/acsami.6c05331,pce_champion,21.15,p-i-n,True,False,False
guarded_pipeline,10.1021/acsami.6c06005,pce_champion,9.9,unknown,True,False,False
guarded_pipeline,10.1021/acsami.6c07418,pce_champion,22.15,p-i-n,True,False,False
guarded_pipeline,10.1021/acsami.6c08440,pce_champion,19.38,p-i-n,True,False,False
guarded_pipeline,10.1021/acsami.6c09672,pce_champion,22.03,p-i-n,True,False,False
guarded_pipeline,10.1021/acsami.6c09922,pce_champion,24.2,module,True,False,False
guarded_pipeline,10.1021/acsami.6c09922,active_area_cm2,12,module,True,False,False
guarded_pipeline,10.1021/acsenergylett.6c00858,pce_champion,21.5,p-i-n,True,False,False
guarded_pipeline,10.1021/acsenergylett.6c00858,active_area_cm2,0.128,p-i-n,True,False,False
guarded_pipeline,10.1021/acsenergylett.6c01113,pce_champion,20.18,unknown,True,False,False
guarded_pipeline,10.1021/acsenergylett.6c01161,pce_champion,18.15,unknown,True,False,False
guarded_pipeline,10.1021/acsenergylett.6c01361,pce_champion,27.7,tandem_4T,True,False,False
guarded_pipeline,10.1021/acsenergylett.6c01489,pce_champion,26.23,p-i-n,True,False,False
guarded_pipeline,10.1021/acsenergylett.6c01517,pce_champion,26.65,unknown,True,False,False
guarded_pipeline,10.1021/acsenergylett.6c01826,pce_champion,17.1,unknown,True,False,False
guarded_pipeline,10.1021/acsnano.5c21750,pce_champion,23.06,unknown,True,False,False
guarded_pipeline,10.1021/acsnano.6c04084,pce_champion,22.51,unknown,True,False,False
guarded_pipeline,10.1021/jacs.6c05502,pce_champion,22.99,unknown,True,False,False
guarded_pipeline,10.1021/jacs.6c06932,pce_champion,26.53,n-i-p,True,False,False
guarded_pipeline,10.1021/jacs.6c06932,active_area_cm2,818,n-i-p,True,False,False
guarded_pipeline,10.1038/s41467-026-74018-8,pce_certified,27.12,p-i-n,True,False,False
guarded_pipeline,10.1038/s41467-026-74018-8,active_area_cm2,655.2,p-i-n,True,False,False
guarded_pipeline,10.1038/s41467-026-75053-1,pce_champion,26.14,unknown,True,False,False
guarded_pipeline,10.1038/s41467-026-75053-1,pce_certified,25.75,unknown,True,False,False
guarded_pipeline,10.1038/s41467-026-75305-0,pce_champion,26.18,tandem_2T,True,False,False
guarded_pipeline,10.1038/s41467-026-75305-0,pce_certified,26.18,tandem_2T,True,False,False
guarded_pipeline,10.1038/s41467-026-75305-0,active_area_cm2,1.17,tandem_2T,True,False,False
guarded_pipeline,10.1038/s41467-026-75629-x,pce_champion,26.47,n-i-p,True,False,False
guarded_pipeline,10.1038/s41467-026-75990-x,pce_champion,26.26,unknown,True,False,False
guarded_pipeline,10.1038/s41467-026-75990-x,active_area_cm2,14,unknown,True,False,False
guarded_pipeline,10.1126/sciadv.aeb8790,pce_champion,29.44,tandem_2T,True,False,False
guarded_pipeline,10.1126/sciadv.aeb8790,pce_certified,28.84,tandem_2T,True,False,False
guarded_pipeline,10.1126/sciadv.aed6327,pce_champion,26.88,unknown,True,False,False
guarded_pipeline,10.1126/sciadv.aed6327,pce_certified,26.52,unknown,True,False,False
guarded_pipeline,10.1126/sciadv.aee4175,pce_certified,23.1,module,True,False,False
guarded_pipeline,10.1126/sciadv.aee4175,active_area_cm2,20.3,module,True,False,False
guarded_pipeline,10.1126/sciadv.aef6600,pce_champion,27.49,tandem_2T,True,False,False
guarded_pipeline,10.1126/sciadv.aef6600,pce_certified,27.49,tandem_2T,True,False,False
guarded_pipeline,10.1126/sciadv.aef6600,active_area_cm2,12.56,tandem_2T,True,False,False
guarded_pipeline,10.1126/sciadv.aeg1456,pce_champion,27.31,p-i-n,True,False,False
guarded_pipeline,10.1126/sciadv.aeg1456,pce_certified,27.31,p-i-n,True,False,False
guarded_pipeline,10.1126/sciadv.aeg1456,active_area_cm2,766,p-i-n,True,False,False
guarded_pipeline,10.1126/sciadv.aei2945,pce_champion,33.3,tandem_2T,True,False,False
guarded_pipeline,10.1126/sciadv.aei2945,pce_certified,33.1,tandem_2T,True,False,False
guarded_pipeline,10.1126/science.aed8175,pce_champion,27.8,p-i-n,True,False,False
guarded_pipeline,10.1126/science.aed8175,pce_certified,27.3,p-i-n,True,False,False
guarded_pipeline,10.1126/science.aed8175,active_area_cm2,625,p-i-n,True,False,False
guarded_pipeline,10.1126/science.aef1969,pce_champion,26.7,unknown,True,False,False
guarded_pipeline,10.1126/science.aef1969,pce_certified,26.1,unknown,True,False,False
guarded_pipeline,10.1126/science.aef1969,active_area_cm2,100,unknown,True,False,False
