work_key,doi,device_class,t80_hours,stability_protocol,source_quotation
10.1021/acs.nanolett.5c06029,10.1021/acs.nanolett.5c06029,single_junction,1400,,retaining over 80% of their initial performance after 1400 h under both ambient conditions and 85 °C thermal stress in nitrogen
10.1002/solr.70324,10.1002/solr.70324,single_junction,1200,,retaining 80% of the initial PCE after 1200 h
10.1021/acsaem.6c00059,10.1021/acsaem.6c00059,single_junction,,ISOS-L3,
10.1002/advs.202524338,10.1002/advs.202524338,single_junction,1440,,"MQPPO-based PSCs demonstrated exceptional long-term stability, maintaining over 80% of their initial efficiency after 1440 h."
10.1002/pip.70077,10.1002/pip.70077,all_perovskite_tandem,1600,,achieving a T 80 of 1600 h during continuous light soaking (ISOS‐L‐1) and maintaining performance for over 4000 h in outdoor conditions (ISOS‐O‐3) through an
10.1002/eem2.70329,10.1002/eem2.70329,single_junction,800,continuous operation,maintaining 80% of their initial efficiency after 800 hours of continuous operation
10.1021/acsaem.5c04098,10.1021/acsaem.5c04098,single_junction,1360,,which retains 80% of the initial PCE after 1360 h at 20% RH
10.1002/advs.202524360,10.1002/advs.202524360,single_junction,2000,,Unencapsulated devices retain 80% of their initial efficiency after 2000 h of ambient storage
10.1038/s41467-026-72099-z,10.1038/s41467-026-72099-z,all_perovskite_tandem,1210,ISOS-L-2,maintaining 80% of the initial PCE (T80) after operating for 1210 hours at 65 °C and 650 hours at 85 °C (ISOS-L-2)
10.1002/adma.202520251,10.1002/adma.202520251,single_junction,,ISOS,
10.1002/adfm.202527584,10.1002/adfm.202527584,single_junction,2000,85°C/85% relative humidity (R.H.),"the photovoltaic devices still maintained more than 85% of their initial efficiency for 1200 h, and 80% for over 2000 h"
10.1021/acsenergylett.6c00507,10.1021/acsenergylett.6c00507,single_junction,,ISOS-L-1,
10.1038/s41467-026-72115-2,10.1038/s41467-026-72115-2,single_junction,,ISOS-L-1,
10.1002/anie.202525625,10.1002/anie.202525625,single_junction,,ISOS‐L‐2,
10.1002/anie.9286497,10.1002/anie.9286497,module,500,,"thermal stability ( T 80 > 500 h, 85°C)"
10.1002/adma.73161,10.1002/adma.73161,single_junction,,ISOS‐L‐3,
10.1021/acs.jpclett.6c00826,10.1021/acs.jpclett.6c00826,single_junction,460,,unencapsulated devices maintained over 80% of their initial PCE for ∼460 h under continuous AM 1.5G illumination at ∼65 °C under open-circuit conditions
10.1038/s41467-026-71845-7,10.1038/s41467-026-71845-7,single_junction,,ISOS-L-2I,
10.1038/s41467-026-72097-1,10.1038/s41467-026-72097-1,single_junction,,ISOS-L-2,
10.1021/acsami.6c03372,10.1021/acsami.6c03372,single_junction,,ISOS-L-2,
10.1021/acsenergylett.6c00983,10.1021/acsenergylett.6c00983,single_junction,1380,,T 80 > 1380 h
10.1002/smll.73539,10.1002/smll.73539,single_junction,,ISOS-L-2I,
10.1126/sciadv.aec3238,10.1126/sciadv.aec3238,single_junction,,ISOS-L-1,
10.1088/2752-5724/ae628f,10.1088/2752-5724/ae628f,single_junction,,UV exposure,
10.1038/s41467-026-73269-9,10.1038/s41467-026-73269-9,single_junction,1000,ISOS-L-3,"We demonstrate an outstanding operational stability after the reverse-bias precondition (T80 = ~ 1000 h, ISOS-L-3), and more encouragingly, deliver a superior cyclic lifetime under"
10.1002/adfm.76110,10.1002/adfm.76110,single_junction,4100,,with the extrapolated T 80 exceeding 4100 h under the ISOS‐D‐1I protocol
10.1021/acsenergylett.6c00227,10.1021/acsenergylett.6c00227,all_perovskite_tandem,1000,,unencapsulated devices retained over 80% of their initial PCE after 1000 h of thermal stress at 55 °C
10.1038/s41467-026-72794-x,10.1038/s41467-026-72794-x,perovskite_silicon_tandem,800,,retaining 80% of its initial efficiency after 800 h
10.1038/s41467-026-73426-0,10.1038/s41467-026-73426-0,single_junction,,ISOS-L-2,
10.1002/aenm.71111,10.1002/aenm.71111,single_junction,,ISOS‐L‐1,
10.1038/s41467-026-73656-2,10.1038/s41467-026-73656-2,perovskite_silicon_tandem,,ISOS-L-1,
10.1021/acsenergylett.6c00771,10.1021/acsenergylett.6c00771,single_junction,,ISOS-D-1I,
10.1002/anie.5162616,10.1002/anie.5162616,all_perovskite_tandem,1000,,"As a result, inverted 1.68 eV WBG PSCs achieve a champion efficiency of 23.52%, along with impressive stability, retaining over 80% after 1000 h of"
10.1021/acsenergylett.6c00863,10.1021/acsenergylett.6c00863,single_junction,,IEC aluminum-foil testing protocol,
10.1002/adfm.76197,10.1002/adfm.76197,single_junction,1200,,retaining 95.2% of their initial efficiency after 500 h of thermal aging at 65°C and 80% after 1200 h of maximum power point tracking under
10.1002/solr.70387,10.1002/solr.70387,all_perovskite_tandem,300,,"Under continuous 1‐sun illumination in a nitrogen atmosphere, both the single‐junction and tandem devices retain approximately 80% of their initial efficiencies after 1000 and 300"
10.1002/adma.73682,10.1002/adma.73682,all_perovskite_tandem,1080,,Both devices retain approximately 80% of their initial efficiency after 1080 h of continuous operation under one‐sun illumination.
10.1126/sciadv.aef6596,10.1126/sciadv.aef6596,single_junction,3566,,while encapsulated devices maintained 80% of their initial efficiency after 3566 hours at 85°C under the ISOS-L-2 protocol
10.1021/acsenergylett.6c01291,10.1021/acsenergylett.6c01291,single_junction,,ISOS-D-1,
10.1002/anie.5595275,10.1002/anie.5595275,all_perovskite_tandem,500,,retains 80% of its initial efficiency after 500 h of continuous maximum power point tracking under simulated sunlight
10.1021/acsaem.6c00778,10.1021/acsaem.6c00778,single_junction,,ISOS-D-1,
10.1002/smll.74278,10.1002/smll.74278,single_junction,,ISOS-L-1,
10.1021/acs.jpclett.6c01531,10.1021/acs.jpclett.6c01531,single_junction,3600,,"cytosine-based devices achieve a champion power conversion efficiency of 22.4% and demonstrate excellent thermal stability, with over 80% of the initial performance retained after 3600"
10.1016/j.cej.2026.177834,10.1016/j.cej.2026.177834,single_junction,1000,ISOS-D,Stability tests revealed a T80 > 1000 h for PME-based cells under ISOS-D shelf life test.
10.1002/smll.74320,10.1002/smll.74320,single_junction,2000,,retaining 80.18% of its initial efficiency after 2000 h under N 2
10.1021/acsami.6c01472,10.1021/acsami.6c01472,single_junction,,MPP tracking,
