work_key,source_month,axis,lens,architecture,field,value,unit,verbatim_anchor
10.1038/s41467-025-64111-9,,interfaces,scale_up,p-i-n,active_area_cm2,0.0655,cm2,PSCs with this HTL achieved a champion PCE of 26.02% (with an active area of 0.0655 cm2)
10.1038/s41467-025-66421-4,,interfaces,experimental,p-i-n,pce_champion,26.5,%,achieve a high PCE of 26.5% (certified as 26.28%) and improved stability with T90 > 1000 hours
10.1038/s41467-025-66421-4,,interfaces,experimental,p-i-n,pce_certified,26.28,%,achieve a high PCE of 26.5% (certified as 26.28%) and improved stability with T90 > 1000 hours
10.1021/acsenergylett.5c01010,,stability,experimental,tandem_2T,pce_champion,30.49,%,the industrially textured perovskite/silicon tandem solar cells delivered an impressive efficiency of 30.49% (1.21 cm 2 )
10.1021/acsenergylett.5c01010,,stability,experimental,tandem_2T,active_area_cm2,1.21,cm2,delivered an impressive efficiency of 30.49% (1.21 cm 2 )
10.1021/acsenergylett.5c01010,,stability,experimental,tandem_2T,t80_h,723,h,80% after 723 h of damp heat test (ISOS-D-3)
10.1021/acsenergylett.4c03282,,interfaces,experimental,n-i-p,pce_champion,22.14,%,"as high as 22.14% efficiency has been achieved, demonstrating one of the highest efficiencies of CsPbI 3 perovskite solar cells to date"
10.1007/s40820-025-01763-8,,interfaces,experimental,p-i-n,pce_champion,18.68,%,the inverted CsPbI 3 PSCs achieved an efficiency of 18.68% and demonstrated excellent stability against water and oxygen
10.1007/s40820-025-01775-4,,interfaces,experimental,n-i-p,pce_champion,33.2,%,"a record-high PCE of 33.2% is achieved for Li2CO3-modified C-PSCs under weak light illumination conditions, demonstrating excellent indoor photovoltaic performance"
10.1021/acsami.5c01228,,interfaces,experimental,p-i-n,pce_champion,24.74,%,An outstanding champion efficiency of 24.74% was obtained for the devices
10.1021/acsami.5c15868,,interfaces,experimental,p-i-n,pce_champion,23.31,%,"the small-area (0.0575 cm 2 ) PSCs achieved a champion power conversion efficiency (PCE) of 23.31%, providing an effective strategy and direction for the preparation"
10.1021/acsami.5c15868,,interfaces,experimental,p-i-n,active_area_cm2,0.0575,cm2,the small-area (0.0575 cm 2 ) PSCs achieved a champion power conversion efficiency (PCE) of 23.31%
10.1002/aenm.202405571,,interfaces,experimental,p-i-n,pce_champion,24.82,%,"Finally, the device treated with 9‐YT achieves a power conversion efficiency (PCE) of 24.82%."
10.1002/aenm.202404617,,interfaces,experimental,p-i-n,pce_champion,23,%,"achieving a champion PCE of 23% and an open‐circuit voltage of 0.88 V, which ranks among the highest reported values in the literature"
10.1002/aenm.202500572,,interfaces,experimental,p-i-n,pce_champion,25.3,%,"the target co‐assembled SAM contributes to a champion small‐area device with a power conversion efficiency (PCE) of 25.3% (certified 25.0%), and demonstrates good compatibility with"
10.1002/aenm.202500572,,interfaces,experimental,p-i-n,pce_certified,25.0,%,a champion small‐area device with a power conversion efficiency (PCE) of 25.3% (certified 25.0%)
10.1002/aenm.202500572,,interfaces,experimental,p-i-n,active_area_cm2,1.02,cm2,demonstrates good compatibility with large‐area fabrication by achieving highly reproducible performances in 1.02 cm2 devices
10.1002/aenm.202502006,,interfaces,experimental,n-i-p,pce_champion,21.36,%,"the optimized PFATLI‐modified device achieved a power conversion efficiency (PCE) of 21.36%, an open‐circuit voltage (VOC) of 1.23 V, and a fill factor (FF) of"
10.1002/aenm.202502006,,interfaces,experimental,n-i-p,active_area_cm2,1,cm2,"For the larger‐area devices with an active area of 1 cm2, the PCE reached 17.41%"
10.1016/j.cej.2025.171437,,interfaces,experimental,unknown,pce_champion,26.67,%,resulted in improved short-circuit current ( J SC ) and power conversion efficiency (PCE) of 1.89 % (24.54 mA/cm 2 ) and 3.39 % (26.67
10.1002/adfm.202505921,,interfaces,experimental,unknown,pce_champion,26.04,%,"The resulting rigid, flexible PSCs and modules (25 cm 2 ) achieve PCEs of 26.04%, 24.16%, and 20.40%, respectively"
10.1002/adfm.202505921,,interfaces,experimental,unknown,active_area_cm2,25,cm2,"The resulting rigid, flexible PSCs and modules (25 cm 2 ) achieve PCEs of 26.04%, 24.16%, and 20.40%, respectively"
10.1002/adfm.202512188,,interfaces,experimental,p-i-n,pce_champion,21.19,%,the inverted CsPbI 3 PSCs achieve a remarkably enhanced efficiency of 21.19% along with an enhanced stability with over 98% initial efficiency retained after 600‐hour
10.1002/adfm.202512300,,interfaces,experimental,unknown,pce_champion,14.18,%,"when applicable to PEDOT:PSS and NiO x HTLs in Sn‐PSCs, they present distinct mechanisms yet comparable efficiencies of 14.18% and 14.11%, respectively"
10.1002/adfm.202520372,,interfaces,experimental,p-i-n,pce_champion,26.16,%,"Consequently, BFS‐modified PSCs achieve a PCE of 26.16% with a fill factor of 86.06%, compared to 24.49% for the control device."
10.1039/d4ee05466k,,interfaces,experimental,unknown,pce_champion,25.8,%,resulting in improved PCE from 24.67% to 25.80%
10.1039/d4ee04555f,,interfaces,experimental,unknown,pce_champion,25.69,%,The deprotonation suppressed solar cell obtains a champion efficiency of 25.69% and an ultra-high fill factor of 86.21%.
10.1021/acsnano.4c16440,,defects,theory,unknown,pce_champion,25.47,%,"With a high open-circuit voltage of 1.196 V, the efficiency of the OAAc-treated devices increased from 23.14% to 25.47% on a rigid substrate (23.12% on"
10.1002/adma.202505115,,defects,experimental,p-i-n,pce_champion,27.18,%,"The C8A passivated p‐i‐n inverted PSCs obtain a champion PCE of 27.18% (certified 26.79%), which is the highest PCE for the PSCs using the vacuum"
10.1002/adma.202505115,,defects,experimental,p-i-n,pce_certified,26.79,%,"The C8A passivated p‐i‐n inverted PSCs obtain a champion PCE of 27.18% (certified 26.79%), which is the highest PCE for the PSCs using the vacuum"
10.1002/adma.202512308,,defects,experimental,unknown,pce_champion,22.16,%,AP‐modified CsPbI 3 PSCs achieve significantly enhanced power conversion efficiency of 22.16% and open‐circuit voltage of 1.29 V.
10.1039/d4ee02898h,,architecture,experimental,unknown,pce_champion,28.3,%,And it enables 28.3% APTSCs.
10.1039/d5ee02696b,,architecture,experimental,unknown,pce_champion,28.92,%,enabling all-perovskite tandem solar cells with 28.92% efficiency
10.1002/smll.202504515,,defects,experimental,p-i-n,pce_champion,25.63,%,a power conversion efficiency (PCE) of 25.63% was achieved for SY1-based device which is higher than SY2-based (24.12%) and Y6-based (24.70%) devices.
10.1021/acsaem.5c00747,,defects,experimental,unknown,pce_champion,18.52,%,"Devices employing RK1 and RK4 as interfacial layers achieved power conversion efficiencies (PCEs) of 17.28 and 18.52%, respectively"
10.1002/solr.202500331,,defects,experimental,unknown,pce_champion,24.32,%,MPTM‐passivated devices achieve a champion power conversion efficiency (PCE) of 24.32%
10.1021/acsaem.5c02115,,defects,experimental,n-i-p,pce_champion,14.65,%,"we achieved a PCE of 14.65%, a short-circuit current density of 18.72 mA/cm 2, an open-circuit voltage of 1.062 V, and a fill factor of"
10.1002/smll.202510731,,defects,experimental,unknown,pce_champion,25.3,%,Tbzf‐treated perovskite solar cells achieved a champion power conversion efficiency (PCE) of 25.30%
10.1002/smll.202511139,,defects,experimental,unknown,pce_champion,25.78,%,the device achieves a remarkable PCE power conversion efficiency (PCE) of 25.78% with a negligible hysteresis and an open‐circuit voltage loss of ≈349 mV
10.1021/acsaem.5c02212,,defects,theory,unknown,pce_champion,9.41,%,"the open-circuit voltage ( V OC ) rose from 0.87 to 0.94 V, and the power conversion efficiency (PCE) increased from 7.40% to 9.41%, representing"
10.1002/adma.202419413,,interfaces,experimental,p-i-n,pce_champion,26.74,%,AG‐modified narrow bandgap (1.55 eV) PSC demonstrates an efficiency of 26.74% (certified 26.21%) with a fill factor of 86.65%
10.1002/adma.202419413,,interfaces,experimental,p-i-n,pce_certified,26.21,%,demonstrates an efficiency of 26.74% (certified 26.21%)
10.1038/s41467-025-62388-4,,interfaces,experimental,unknown,pce_champion,26.21,%,"(4-(diphenylamino)phenyl)phosphonic acid-based device achieve power conversion efficiency of 26.21% and 24.49% for small- (0.0715 cm2) and large-area (1 cm2), respectively"
10.1038/s41467-025-62388-4,,interfaces,experimental,unknown,active_area_cm2,0.0715,cm2,"power conversion efficiency of 26.21% and 24.49% for small- (0.0715 cm2) and large-area (1 cm2), respectively"
10.1021/acsnano.5c01479,,interfaces,scale_up,p-i-n,pce_champion,22.15,%,"champion efficiencies of 22.15% (0.16 cm 2 ) and 19.18% (5 cm × 5 cm module) are achieved, which is the highest record for inverted"
10.1021/acsnano.5c01479,,interfaces,scale_up,p-i-n,active_area_cm2,0.16,cm2,champion efficiencies of 22.15% (0.16 cm 2 ) and 19.18% (5 cm × 5 cm module) are achieved
10.1002/anie.202425605,,defects,experimental,p-i-n,pce_champion,25.77,%,the inverted devices using synergistic modulation strategy achieve a maximum PCE of 25.77 % (certified stabilized PCE of 25.59 %)
10.1002/anie.202425605,,defects,experimental,p-i-n,pce_certified,25.59,%,(certified stabilized PCE of 25.59 %)
10.1002/anie.202425605,,defects,experimental,p-i-n,pce_stabilised,25.59,%,(certified stabilized PCE of 25.59 %)
10.1002/anie.202502244,,defects,experimental,p-i-n,pce_champion,25.69,%,the TTFP-based devices exhibit a champion power conversion efficiency (PCE) of 25.69%
10.1002/anie.202505470,,defects,experimental,n-i-p,pce_champion,25.41,%,The n‐i‐p type devices achieved a power conversion efficiency (PCE) of 25.41% (0.09 cm 2 ) and 21.99% (1.01 cm 2 ).
10.1002/anie.202505470,,defects,experimental,n-i-p,active_area_cm2,0.09,cm2,The n‐i‐p type devices achieved a power conversion efficiency (PCE) of 25.41% (0.09 cm 2 ) and 21.99% (1.01 cm 2 ).
10.1002/anie.202510255,,defects,experimental,n-i-p,pce_champion,26.15,%,the 5BT‐modified n‐i‐p PSCs achieved a champion PCE of 26.15% (certified at 26.12%)
10.1002/anie.202510255,,defects,experimental,n-i-p,pce_certified,26.12,%,(certified at 26.12%)
10.1002/anie.202509529,,defects,experimental,n-i-p,pce_champion,25.85,%,the optimal n‐i‐p PSC achieved a champion power conversion efficiency (PCE) of 25.85% alongside enhanced operational stability under simulated 1‐sun illumination over 1200 h
10.1002/anie.202524079,,defects,experimental,p-i-n,pce_champion,26.03,%,devices modified with 2PYET achieved a champion power conversion efficiency of 26.03% for 0.09 cm 2 devices and 24.45% for 1.0 cm 2 devices
10.1002/anie.202524079,,defects,experimental,p-i-n,active_area_cm2,0.09,cm2,devices modified with 2PYET achieved a champion power conversion efficiency of 26.03% for 0.09 cm 2 devices and 24.45% for 1.0 cm 2 devices
10.1002/adfm.202423109,,defects,theory,unknown,pce_champion,19.22,%,PV performance analysis reveals that 3F‐treated 3D/LDP devices achieve the highest efficiency of 19.22%
10.1002/adfm.202425443,,defects,experimental,unknown,pce_champion,26,%,"The resultant PSCs, optimized with BE‐ZnPc, have achieved power conversion efficiencies (PCE) as high as 26% (with a certified PCE of 26.05%)"
10.1002/adfm.202425443,,defects,experimental,unknown,pce_certified,26.05,%,(with a certified PCE of 26.05%)
10.1002/adfm.202425979,,defects,experimental,unknown,pce_champion,25.34,%,significantly enhances their power conversion efficiency from 23.91% to 25.34%
10.1002/adfm.202519195,,defects,experimental,unknown,pce_champion,25.48,%,the efficiency of PSC based on EMIM‐MS is significantly improved to 25.48% from the controlled 22.24%
10.1007/s40820-025-01817-x,,defects,experimental,unknown,pce_champion,21.54,%,The optimized devices achieve a record power conversion efficiency of 21.54% (vs. 19.05% control)
10.1007/s40820-025-01855-5,,defects,experimental,unknown,pce_champion,25.13,%,the Ti 3 C 2 T X -modified PSC achieve a champion PCE of 25.13%
10.1007/s40820-025-01855-5,,defects,experimental,unknown,t80_h,500,h,retaining 80% of the initial PCE after 500 h of thermal aging at 85 °C and 30 ± 5% relative humidity
10.1021/jacs.5c20051,,interfaces,experimental,unknown,pce_champion,26.16,%,"PSCs treated with TMP achieved a power conversion efficiency (PCE) of 26.16%, independently certified at 25.11%"
10.1021/jacs.5c20051,,interfaces,experimental,unknown,pce_certified,25.11,%,independently certified at 25.11%
10.1002/rar2.70082,,interfaces,experimental,n-i-p,pce_champion,23.94,%,"Tau‐modified PSCs achieve a remarkable power conversion efficiency of 23.94%, up from 21.87% for the control devices"
10.1021/acsenergylett.5c00163,,composition,experimental,unknown,pce_champion,14.51,%,"a fully lead-free tandem device based on WBG Sn PSCs was fabricated, achieving a remarkable PCE of 14.51%"
10.1002/aenm.202403682,,interfaces,experimental,tandem_2T,pce_champion,22.8,%,a flexible monolithic Perovskite (PVK)‐CIGS tandem solar cell with the highest efficiency of 22.8% and an extremely high Open‐circuit voltage (V OC ) of 1.82
10.1002/aenm.202501296,,interfaces,theory,unknown,pce_champion,24.68,%,the Ec‐modified PSCs achieve a power conversion efficiency (PCE) of 24.68% (vs 22.56% for control)
10.1002/aenm.202502222,,interfaces,experimental,tandem_2T,pce_champion,31.12,%,the perovskite‐silicon tandem solar cell reaches an efficiency of 31.12%
10.1002/anie.202512061,,interfaces,experimental,none,pce_champion,22.97,%,ultimately achieving a high‐power conversion efficiency of 22.97%
10.1021/acsami.5c18376,,defects,experimental,unknown,pce_champion,24.42,%,the optimized PSCs deliver a power conversion efficiency of 24.42%
10.1002/adfm.202510279,,interfaces,experimental,p-i-n,pce_champion,23.52,%,Devices incorporating CAZ‐NCS‐P achieve a power conversion efficiency of 23.52%
10.1002/adfm.202510279,,interfaces,experimental,p-i-n,t80_h,1951,h,( T 80 = 1951 h)
10.1039/d5ee06342f,,interfaces,experimental,p-i-n,pce_champion,26.45,%,resulting in stable PSCs with a high PCE of up to 26.45%
10.1126/sciadv.adu3493,,interfaces,experimental,p-i-n,pce_champion,26.0,%,The PSCs blade-coated under ambient conditions using Poly-2PACz HTL achieved a remarkable efficiency of 26.0% and outstanding UV stability.
10.1126/sciadv.adu3493,,interfaces,experimental,p-i-n,t80_h,500,h,Our cells retain 80% of the initial PCE even after about 500 hours of high-intensity UV illumination
10.34734/fzj-2025-05790,,architecture,experimental,tandem_2T,pce_champion,25.5,%,which achieve an averaged efficiency of 25.12% and a hero efficiency of 25.5%
10.1002/smll.202504237,,interfaces,theory,p-i-n,pce_champion,16.61,%,Final solar cell is fabricated on optimum Cu doped NiO HTL layers which showed an efficiency of 16.61% with enhanced fill factor (FF) of 77%.
10.1002/solr.202500549,,interfaces,theory,unknown,pce_champion,20.2,%,"of 1.544 V, a J SC of 15.00 mA/cm 2 , a fill factor (FF) of 87.22%, and a power conversion efficiency (PCE) of 20.20%."
10.1002/smll.202506991,,interfaces,theory,n-i-p,pce_champion,18.03,%,the champion power conversion efficiency (PCE) of HTL‐Free C‐PSCs with SO delivers is 18.03%
10.1038/s41467-025-66478-1,,defects,experimental,unknown,pce_champion,26.06,%,achieving a device efficiency of 26.06%
10.1021/acsenergylett.5c02613,,defects,experimental,unknown,pce_champion,24.61,%,The power conversion efficiency increases from 22.75% to 24.61% after PPA treatment
10.1002/smll.202411247,,defects,experimental,unknown,pce_champion,20.24,%,"With the synergistic effects, PANI increases the power conversion efficiency of the champion device from 18.28% to 20.24%."
10.1002/smll.202412837,,defects,experimental,unknown,pce_champion,21.35,%,"As a result, the perovskite solar cells treated with 2‐PyEA achieve impressive power conversion efficiencies (PCEs) of 21.35% and 17.19% for active areas of 0.09"
